DataName, VC, IT, IC, VT, RPT100
DataValue,0.0,0.001,-2.7904e-07,0.1124749999999999,112.475
DataValue,0.02,0.001,0.00010554,0.1124749999999999,112.475
DataValue,0.04,0.001,0.00029941,0.11247,112.47
DataValue,0.06,0.001,0.00060964,0.11248,112.48
DataValue,0.08,0.001,0.00104487,0.112485,112.485
DataValue,0.1,0.001,0.0015745,0.112495,112.495
DataValue,0.12,0.001,0.0021187999999999,0.112505,112.505
DataValue,0.1399999999999999,0.001,0.0026105,0.1125,112.5
DataValue,0.16,0.001,0.0030004,0.11251,112.51
DataValue,0.18,0.001,0.0032671,0.11252,112.52
DataValue,0.2,0.001,0.0034338,0.11252,112.52
DataValue,0.22,0.001,0.0035298,0.11253,112.53
DataValue,0.24,0.001,0.0035851,0.11252,112.52
DataValue,0.26,0.001,0.0036176,0.11253,112.53
DataValue,0.2799999999999999,0.001,0.0036368999999999,0.11252,112.52
DataValue,0.3,0.001,0.0036501,0.11252,112.52
DataValue,0.32,0.001,0.0036596,0.112525,112.525
DataValue,0.34,0.001,0.0036666,0.112515,112.51500000000001
DataValue,0.36,0.001,0.0036723,0.11252,112.52
DataValue,0.38,0.001,0.003677,0.112525,112.525
DataValue,0.4,0.001,0.0036812999999999,0.11253,112.53
DataValue,0.42,0.001,0.0036847,0.11252,112.52
DataValue,0.44,0.001,0.0036879,0.11252,112.52
DataValue,0.4599999999999999,0.001,0.0036909,0.112535,112.535
DataValue,0.48,0.001,0.0036934999999999,0.112525,112.525
DataValue,0.5,0.001,0.0036955,0.11252,112.52
DataValue,0.52,0.001,0.0036976,0.112525,112.525
DataValue,0.54,0.001,0.0037,0.11253,112.53
DataValue,0.5599999999999999,0.001,0.0037016,0.11253,112.53
DataValue,0.58,0.001,0.0037032,0.11252,112.52
DataValue,0.6,0.001,0.0037047,0.112535,112.535
DataValue,0.6200000000000001,0.001,0.0037063,0.11252,112.52
DataValue,0.6400000000000001,0.001,0.003708,0.112525,112.525
DataValue,0.66,0.001,0.0037091,0.11252,112.52
DataValue,0.68,0.001,0.0037104,0.11252,112.52
DataValue,0.7,0.001,0.0037119,0.11253,112.53
DataValue,0.72,0.001,0.0037125,0.11252,112.52
DataValue,0.7400000000000001,0.001,0.0037135,0.11253,112.53
DataValue,0.76,0.001,0.0037144,0.112515,112.51500000000001
DataValue,0.78,0.001,0.0037156,0.112525,112.525
DataValue,0.8,0.001,0.0037165,0.112525,112.525
DataValue,0.82,0.001,0.0037172999999999,0.11253,112.53
DataValue,0.84,0.001,0.0037183,0.11252,112.52
DataValue,0.86,0.001,0.0037191,0.11252,112.52
DataValue,0.8800000000000001,0.001,0.0037195,0.112535,112.535
DataValue,0.9,0.001,0.0037201,0.112525,112.525
DataValue,0.92,0.001,0.0037209,0.112535,112.535
DataValue,0.94,0.001,0.0037216,0.112515,112.51500000000001
DataValue,0.96,0.001,0.0037223,0.11253,112.53
DataValue,0.98,0.001,0.0037224,0.112525,112.525
DataValue,1.0,0.001,0.0037234,0.112525,112.525
DataValue,1.02,0.001,0.0037235,0.11253,112.53
DataValue,1.04,0.001,0.0037241,0.112525,112.525
DataValue,1.06,0.001,0.0037243,0.112525,112.525
DataValue,1.08,0.001,0.0037252,0.11252,112.52
DataValue,1.1,0.001,0.0037252,0.112515,112.51500000000001
DataValue,1.12,0.001,0.0037258,0.11252,112.52
DataValue,1.14,0.001,0.0037264,0.11252,112.52
DataValue,1.16,0.001,0.0037268,0.11252,112.52
DataValue,1.18,0.001,0.0037268,0.112515,112.51500000000001
DataValue,1.2,0.001,0.0037271,0.112525,112.525
DataValue,1.22,0.001,0.0037278,0.11252,112.52
