DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.48,0.001,2.58841e-10,1.2237599999999998e-07,0.111068,472.784450685942,111.06799999999998
DataValue,0.482125,0.001,2.75737e-10,1.3282e-07,0.111067,481.69088660571504,111.067
DataValue,0.48425,0.001,2.96499e-10,1.44499e-07,0.111071,487.350716191286,111.071
DataValue,0.486375,0.001,3.17277e-10,1.56733e-07,0.1110685,493.994206954806,111.0685
DataValue,0.4885,0.001,3.3886900000000003e-10,1.69208e-07,0.111069,499.33160011685897,111.069
DataValue,0.490625,0.001,3.63014e-10,1.83676e-07,0.111068,505.974976171718,111.06799999999998
DataValue,0.49275,0.001,3.9158e-10,2.00781e-07,0.1110775,512.745799070433,111.0775
DataValue,0.494875,0.001,4.1980899999999996e-10,2.1737199999999997e-07,0.111069,517.7878511418289,111.069
DataValue,0.497,0.001,4.48232e-10,2.35632e-07,0.11107,525.692052330043,111.07
DataValue,0.499125,0.001,4.80769e-10,2.5567999999999997e-07,0.1110745,531.814655271034,111.07450000000001
DataValue,0.5012,0.001,5.18128e-10,2.77772e-07,0.111077,536.1069079455269,111.077
DataValue,0.5034,0.001,5.55392e-10,3.01257e-07,0.1110755,542.422289121918,111.0755
DataValue,0.5055,0.001,5.94701e-10,3.26258e-07,0.1110765,548.6084603859749,111.0765
DataValue,0.5075999999999999,0.001,6.390830000000001e-10,3.5368e-07,0.111076,553.4179441481,111.076
DataValue,0.5098,0.001,6.88698e-10,3.84692e-07,0.1110795,558.578651310153,111.0795
DataValue,0.5119,0.001,7.37763e-10,4.17003e-07,0.111079,565.2262311880639,111.079
DataValue,0.514,0.001,7.93741e-10,4.52107e-07,0.111084,569.590080391463,111.084
DataValue,0.5161,0.001,8.516690000000001e-10,4.90031e-07,0.1110805,575.3772885945131,111.0805
DataValue,0.5182000000000001,0.001,9.18422e-10,5.33003e-07,0.1110865,580.346507378961,111.0865
DataValue,0.5204,0.001,9.86366e-10,5.78044e-07,0.1110849999999999,586.033987383993,111.085
DataValue,0.5225,0.001,1.05975e-09,6.261499999999999e-07,0.1110835,590.846897853267,111.0835
DataValue,0.5246,0.001,1.1399500000000002e-09,6.790709999999999e-07,0.1110855,595.702443089609,111.0855
DataValue,0.5268,0.001,1.2331900000000002e-09,7.40562e-07,0.111088,600.52546647313,111.088
DataValue,0.5289,0.001,1.32671e-09,8.030039999999999e-07,0.111089,605.259627198106,111.089
DataValue,0.531,0.001,1.42674e-09,8.70673e-07,0.1110895,610.253444916383,111.0895
DataValue,0.5331,0.001,1.53524e-09,9.61728e-07,0.111091,626.434954795341,111.091
DataValue,0.5352,0.001,1.6575e-09,1.02629e-06,0.1110855,619.179487179487,111.0855
DataValue,0.5374,0.001,1.78627e-09,1.11342e-06,0.111091,623.321222435578,111.091
DataValue,0.5395,0.001,1.9222600000000003e-09,1.2076e-06,0.111097,628.218867374861,111.097
DataValue,0.5416,0.001,2.07001e-09,1.30824e-06,0.1110895,631.996946874653,111.0895
DataValue,0.5437,0.001,2.23464e-09,1.42241e-06,0.111092,636.527583861382,111.092
DataValue,0.5458999999999999,0.001,2.4073000000000006e-09,1.54313e-06,0.111091,641.021060939642,111.091
DataValue,0.548,0.001,2.59522e-09,1.67214e-06,0.111096,644.315318161851,111.096
DataValue,0.5501,0.001,2.79746e-09,1.81173e-06,0.111096,647.63392506059,111.096
DataValue,0.5522,0.001,3.0219e-09,1.9694e-06,0.1110925,651.7091895827131,111.0925
DataValue,0.5544,0.001,3.2572800000000006e-09,2.13558e-06,0.1110975,655.632920719128,111.0975
DataValue,0.5565000000000001,0.001,3.51301e-09,2.31552e-06,0.111101,659.127073364437,111.101
DataValue,0.5586000000000001,0.001,3.786630000000001e-09,2.50932e-06,0.1110975,662.678951996894,111.0975
DataValue,0.5607,0.001,4.10683e-09,2.73584e-06,0.1110955,666.168309864299,111.0955
DataValue,0.5629,0.001,4.42908e-09,2.9660899999999996e-06,0.111101,669.685352262772,111.101
DataValue,0.565,0.001,4.78063e-09,3.21586e-06,0.1111045,672.685399204707,111.1045
DataValue,0.5671,0.001,5.155940000000001e-09,3.48504e-06,0.1111024999999999,675.927183016094,111.1025
DataValue,0.5693,0.001,5.5805e-09,3.78863e-06,0.1111005,678.90511602903,111.1005
DataValue,0.5714,0.001,6.02241e-09,4.10944e-06,0.111104,682.3580593151249,111.104
DataValue,0.5735,0.001,6.5009e-09,4.452569999999999e-06,0.1111024999999999,684.915934716731,111.1025
DataValue,0.5756,0.001,7.02016e-09,4.8278e-06,0.111103,687.705123529948,111.103
DataValue,0.5777,0.001,7.59795e-09,5.2497e-06,0.111106,690.9363709948079,111.106
DataValue,0.5799,0.001,8.20158e-09,5.68879e-06,0.1111005,693.6212290802499,111.1005
DataValue,0.582,0.001,8.8558e-09,6.16692e-06,0.111106,696.3707400799481,111.106
DataValue,0.5841,0.001,9.56639e-09,6.68402e-06,0.1111105,698.698255036644,111.1105
DataValue,0.5862,0.001,1.036175e-08,7.26694e-06,0.1111085,701.323618114701,111.1085
DataValue,0.5884,0.001,1.119119e-08,7.877379999999999e-06,0.111106,703.8911858345721,111.106
DataValue,0.5905,0.001,1.2095e-08,8.54393e-06,0.111109,706.4018189334439,111.109
DataValue,0.5926,0.001,1.3074200000000001e-08,9.258520000000001e-06,0.111113,708.151932814245,111.113
DataValue,0.5947,0.001,1.4202300000000002e-08,1.0092380000000002e-05,0.111115,710.6158861592841,111.115
DataValue,0.5969000000000001,0.001,1.53444e-08,1.093672e-05,0.11111,712.749928312609,111.11
DataValue,0.599,0.001,1.65786e-08,1.18587e-05,0.111114,715.3016539394159,111.114
DataValue,0.6011,0.001,1.792e-08,1.28518e-05,0.1111145,717.176339285714,111.1145
DataValue,0.6032,0.001,1.94219e-08,1.39685e-05,0.1111165,719.213877118099,111.1165
DataValue,0.6054,0.001,2.0995e-08,1.5141100000000001e-05,0.111114,721.176470588235,111.114
DataValue,0.6075,0.001,2.26956e-08,1.6411100000000003e-05,0.1111165,723.096106734345,111.1165
DataValue,0.6096,0.001,2.45361e-08,1.77894e-05,0.111117,725.029650188906,111.117
DataValue,0.6117,0.001,2.65983e-08,1.93346e-05,0.111115,726.911118379746,111.115
DataValue,0.6139000000000001,0.001,2.8765200000000004e-08,2.0961500000000003e-05,0.111117,728.710386161056,111.117
DataValue,0.6160000000000001,0.001,3.11008e-08,2.2716500000000005e-05,0.111115,730.4152947834141,111.115
DataValue,0.6181,0.001,3.36347e-08,2.46182e-05,0.1111215,731.928633226995,111.1215
DataValue,0.6202,0.001,3.64698e-08,2.67596e-05,0.111117,733.746826141081,111.117
DataValue,0.6224,0.001,3.94486e-08,2.90023e-05,0.111121,735.192123421364,111.121
DataValue,0.6245,0.001,4.266230000000001e-08,3.1436700000000003e-05,0.1111215,736.87307060332,111.1215
DataValue,0.6266,0.001,4.61469e-08,3.4066800000000004e-05,0.111121,738.225102877983,111.121
DataValue,0.6287,0.001,5.00477e-08,3.70274e-05,0.111123,739.8421905502149,111.123
DataValue,0.6309,0.001,5.41491e-08,4.012940000000001e-05,0.1111235,741.0908029865691,111.1235
DataValue,0.633,0.001,5.85734e-08,4.34915e-05,0.111125,742.512812983368,111.125
DataValue,0.6351,0.001,6.3351e-08,4.7127400000000006e-05,0.111122,743.9093305551611,111.122
DataValue,0.6373,0.001,6.89095e-08,5.1357700000000005e-05,0.1111265,745.292013437915,111.1265
DataValue,0.6394,0.001,7.43422e-08,5.548490000000001e-05,0.1111225,746.344606428112,111.1225
DataValue,0.6415,0.001,8.04364e-08,6.0125800000000006e-05,0.111127,747.49491523738,111.127
DataValue,0.6436,0.001,8.7042e-08,6.516660000000001e-05,0.111125,748.6799476114979,111.125
DataValue,0.6457,0.001,9.471180000000001e-08,7.101390000000001e-05,0.1111245,749.789360987754,111.1245
DataValue,0.6479,0.001,1.024595e-07,7.69543e-05,0.1111275,751.070422947604,111.1275
DataValue,0.65,0.001,1.1088389999999998e-07,8.336980000000001e-05,0.111128,751.865690149788,111.128
DataValue,0.6521,0.001,1.1996e-07,9.03087e-05,0.1111289999999999,752.823441147049,111.129
DataValue,0.6542,0.001,1.30194e-07,9.81313e-05,0.1111255,753.731354747531,111.12550000000002
DataValue,0.6564,0.001,1.40852e-07,0.0001063036,0.111127,754.71842785335,111.127
DataValue,0.6585,0.001,1.52362e-07,0.000115234,0.1111285,756.317191950749,111.1285
DataValue,0.6606,0.001,1.64911e-07,0.000124828,0.1111294999999999,756.9416230572859,111.1295
DataValue,0.6627,0.001,1.78969e-07,0.000135587,0.1111285,757.600478295124,111.1285
