DataName, VC, IT, IC, VT, RPT100
DataValue,0.0,0.001,-3.19972e-07,0.112109,112.109
DataValue,0.02,0.001,0.000107492,0.112102,112.102
DataValue,0.04,0.001,0.000305156,0.112113,112.113
DataValue,0.06,0.001,0.000622054,0.11212,112.12
DataValue,0.08,0.001,0.001066612,0.112123,112.123
DataValue,0.1,0.001,0.00160844,0.112128,112.128
DataValue,0.12,0.001,0.00216702,0.112137,112.137
DataValue,0.1399999999999999,0.001,0.00267256,0.112151,112.151
DataValue,0.16,0.001,0.00307512,0.11215,112.15
DataValue,0.18,0.001,0.00335192,0.112154,112.154
DataValue,0.2,0.001,0.0035258,0.112159,112.159
DataValue,0.22,0.001,0.00362574,0.112164,112.164
DataValue,0.24,0.001,0.00368312,0.112159,112.159
DataValue,0.26,0.001,0.00371656,0.112158,112.158
DataValue,0.2799999999999999,0.001,0.0037370199999999,0.112158,112.158
DataValue,0.3,0.001,0.003751,0.1121559999999999,112.156
DataValue,0.32,0.001,0.00376054,0.112162,112.162
DataValue,0.34,0.001,0.00376762,0.112162,112.162
DataValue,0.36,0.001,0.00377326,0.112164,112.164
DataValue,0.38,0.001,0.00377794,0.1121559999999999,112.156
DataValue,0.4,0.001,0.00378236,0.112155,112.155
DataValue,0.42,0.001,0.00378578,0.112157,112.157
DataValue,0.44,0.001,0.0037888799999999,0.112162,112.162
DataValue,0.4599999999999999,0.001,0.00379216,0.112166,112.166
DataValue,0.48,0.001,0.00379506,0.112166,112.166
DataValue,0.5,0.001,0.0037972,0.112162,112.162
DataValue,0.52,0.001,0.0037994599999999,0.112155,112.155
DataValue,0.54,0.001,0.00380232,0.112158,112.158
DataValue,0.5599999999999999,0.001,0.00380376,0.112164,112.164
DataValue,0.58,0.001,0.0038052,0.112165,112.165
DataValue,0.6,0.001,0.0038069799999999,0.112166,112.166
DataValue,0.6200000000000001,0.001,0.00380828,0.112162,112.162
DataValue,0.6400000000000001,0.001,0.00380992,0.112159,112.159
DataValue,0.66,0.001,0.00381108,0.112166,112.166
DataValue,0.68,0.001,0.00381202,0.112166,112.166
DataValue,0.7,0.001,0.00381316,0.112163,112.163
DataValue,0.72,0.001,0.00381438,0.112159,112.159
DataValue,0.7400000000000001,0.001,0.00381574,0.112165,112.165
DataValue,0.76,0.001,0.00381676,0.112158,112.158
DataValue,0.78,0.001,0.00381732,0.112162,112.162
DataValue,0.8,0.001,0.00381856,0.11216,112.16
DataValue,0.82,0.001,0.00382004,0.112166,112.166
DataValue,0.84,0.001,0.0038207,0.112159,112.159
DataValue,0.86,0.001,0.00382158,0.11216,112.16
DataValue,0.8800000000000001,0.001,0.00382234,0.112164,112.164
DataValue,0.9,0.001,0.00382318,0.112163,112.163
DataValue,0.92,0.001,0.00382324,0.112164,112.164
DataValue,0.94,0.001,0.00382368,0.112161,112.161
DataValue,0.96,0.001,0.0038242799999999,0.112157,112.157
DataValue,0.98,0.001,0.00382486,0.112162,112.162
DataValue,1.0,0.001,0.00382572,0.11216,112.16
DataValue,1.02,0.001,0.00382614,0.112165,112.165
DataValue,1.04,0.001,0.00382642,0.112166,112.166
DataValue,1.06,0.001,0.00382698,0.112164,112.164
DataValue,1.08,0.001,0.0038277,0.112162,112.162
DataValue,1.1,0.001,0.00382836,0.112158,112.158
DataValue,1.12,0.001,0.00382854,0.11216,112.16
DataValue,1.14,0.001,0.00382902,0.112164,112.164
DataValue,1.16,0.001,0.00382918,0.112163,112.163
DataValue,1.18,0.001,0.00382924,0.112165,112.165
DataValue,1.2,0.001,0.00382978,0.112162,112.162
DataValue,1.22,0.001,0.0038294,0.112162,112.162
DataValue,1.24,0.001,0.00383004,0.112159,112.159
DataValue,1.26,0.001,0.00383048,0.112159,112.159
DataValue,1.28,0.001,0.00383102,0.112159,112.159
DataValue,1.3,0.001,0.0038312,0.112163,112.163
DataValue,1.32,0.001,0.00383132,0.112157,112.157
DataValue,1.34,0.001,0.00383168,0.112159,112.159
DataValue,1.36,0.001,0.00383208,0.112163,112.163
DataValue,1.38,0.001,0.0038321,0.112164,112.164
DataValue,1.4,0.001,0.0038325399999999,0.112163,112.163
DataValue,1.42,0.001,0.00383278,0.112162,112.162
DataValue,1.44,0.001,0.00383274,0.112152,112.152
DataValue,1.46,0.001,0.003833,0.112161,112.161
DataValue,1.48,0.001,0.0038334,0.112159,112.159
DataValue,1.5,0.001,0.00383294,0.112163,112.163
DataValue,1.52,0.001,0.00383308,0.11216,112.16
DataValue,1.54,0.001,0.00383368,0.112159,112.159
DataValue,1.56,0.001,0.00383394,0.112152,112.152
DataValue,1.58,0.001,0.00383448,0.112158,112.158
DataValue,1.6,0.001,0.0038346,0.112163,112.163
DataValue,1.62,0.001,0.00383502,0.112162,112.162
DataValue,1.64,0.001,0.00383532,0.112163,112.163
DataValue,1.66,0.001,0.00383536,0.1121559999999999,112.156
DataValue,1.68,0.001,0.0038363,0.112155,112.155
DataValue,1.7,0.001,0.00383676,0.11216,112.16
DataValue,1.72,0.001,0.0038367,0.1121559999999999,112.156
