DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.86,0.001,6.38791e-10,1.9560000000000003e-09,0.020307,3.06203437431022,20.307
DataValue,0.8627000000000001,0.001,7.55145e-10,2.298e-09,0.0203115,3.04312416820611,20.3115
DataValue,0.8654,0.001,8.863239999999999e-10,2.5870000000000003e-09,0.020312,2.9187971892897,20.312
DataValue,0.8681,0.001,1.03202e-09,3.139e-09,0.0203145,3.04160772078061,20.3145
DataValue,0.8708,0.001,1.23316e-09,3.944e-09,0.0203105,3.19828732686756,20.3105
DataValue,0.8736000000000002,0.001,1.48802e-09,5.319e-09,0.0203075,3.57454872918375,20.307499999999997
DataValue,0.8763,0.001,1.78588e-09,7.112e-09,0.020309,3.98235043787936,20.308999999999997
DataValue,0.879,0.001,2.14096e-09,9.873e-09,0.0203085,4.61148269934982,20.3085
DataValue,0.8817,0.001,2.61322e-09,1.3754e-08,0.020307,5.26323845676981,20.307
DataValue,0.8844,0.001,3.12988e-09,1.9623e-08,0.0203045,6.26956944036193,20.3045
DataValue,0.8871000000000001,0.001,3.818000000000001e-09,2.8076e-08,0.0203065,7.35358826610791,20.3065
DataValue,0.8898,0.001,4.65412e-09,4.0436e-08,0.02031,8.6882160322467,20.31
DataValue,0.8925,0.001,5.6455300000000005e-09,5.8639e-08,0.020312,10.3868015934731,20.312
DataValue,0.8953,0.001,6.92373e-09,8.613500000000002e-08,0.0203105,12.4405486637983,20.3105
DataValue,0.8980000000000001,0.001,8.38257e-09,1.2524699999999998e-07,0.0203129999999999,14.9413604658237,20.313
DataValue,0.9007,0.001,1.030074e-08,1.82511e-07,0.0203135,17.7182416020597,20.3135
DataValue,0.9034,0.001,1.25604e-08,2.66414e-07,0.0203245,21.2106302347059,20.3245
DataValue,0.9061,0.001,1.54467e-08,3.88382e-07,0.0203185,25.1433639547606,20.3185
DataValue,0.9088,0.001,1.89106e-08,5.651779999999999e-07,0.0203245,29.8868359544382,20.3245
DataValue,0.9115,0.001,2.31729e-08,8.2289e-07,0.0203225,35.5108769295168,20.3225
DataValue,0.9142,0.001,2.8527900000000004e-08,1.19863e-06,0.0203215,42.01606146964899,20.3215
DataValue,0.9169,0.001,3.4836900000000004e-08,1.7421999999999998e-06,0.020321,50.0101903441466,20.321
DataValue,0.9197,0.001,4.32996e-08,2.55329e-06,0.0203165,58.967981228464,20.3165
DataValue,0.9224,0.001,5.3402000000000004e-08,3.69904e-06,0.020318,69.2678176847309,20.318
DataValue,0.9251,0.001,6.55729e-08,5.33845e-06,0.0203169999999999,81.4124432501842,20.317
DataValue,0.9278,0.001,8.09725e-08,7.69516e-06,0.0203169999999999,95.0342400197598,20.317
DataValue,0.9305,0.001,9.97147e-08,1.1071e-05,0.0203165,111.02675934441,20.3165
DataValue,0.9332,0.001,1.1907400000000001e-07,1.5888600000000002e-05,0.020315,133.43467087693398,20.315
DataValue,0.9359,0.001,1.49064e-07,2.26997e-05,0.020319,152.281570332206,20.319
DataValue,0.9386,0.001,1.85193e-07,3.2339500000000004e-05,0.020319,174.62593078572098,20.319
DataValue,0.9414,0.001,2.32906e-07,4.635250000000001e-05,0.020321,199.018058787665,20.321
DataValue,0.9441,0.001,2.895570000000001e-07,6.550700000000001e-05,0.0203225,226.231795466868,20.3225
DataValue,0.9468,0.001,3.6043199999999995e-07,9.21286e-05,0.0203175,255.606050517157,20.317500000000003
DataValue,0.9495,0.001,4.45457e-07,0.000129062,0.0203225,289.729423939909,20.3225
DataValue,0.9522,0.001,5.54288e-07,0.000179888,0.0203225,324.538867880957,20.3225
