DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.5,0.001,6.30974e-10,3.07521e-07,0.1123915,487.37507409180097,112.3915
DataValue,0.501,0.001,6.539580000000001e-10,3.56908e-07,0.1123975,545.7659360387061,112.3975
DataValue,0.502,0.001,6.75589e-10,3.58721e-07,0.1123915,530.9751934978219,112.3915
DataValue,0.503,0.001,6.96702e-10,3.72921e-07,0.1123935,535.2661539653969,112.3935
DataValue,0.504,0.001,7.22468e-10,3.89431e-07,0.1123915,539.028718226966,112.3915
DataValue,0.505,0.001,7.47833e-10,4.03404e-07,0.112398,539.430594798571,112.398
DataValue,0.506,0.001,7.717430000000001e-10,4.20191e-07,0.1123955,544.4701150512541,112.3955
DataValue,0.507,0.001,7.98921e-10,4.3487500000000006e-07,0.1123985,544.327912271676,112.3985
DataValue,0.508,0.001,8.267070000000001e-10,4.51942e-07,0.1123995,546.677359693338,112.3995
DataValue,0.509,0.001,8.5485e-10,4.72351e-07,0.1123965,552.5542492835,112.3965
DataValue,0.51,0.001,8.84077e-10,4.90163e-07,0.112396,554.434738150636,112.396
DataValue,0.511,0.001,9.147079999999999e-10,5.07787e-07,0.1123965,555.135627981826,112.3965
DataValue,0.512,0.001,9.4679e-10,5.28011e-07,0.1124005,557.6854423895479,112.4005
DataValue,0.513,0.001,9.812620000000002e-10,5.497859999999999e-07,0.112397,560.284613079891,112.397
DataValue,0.514,0.001,1.012916e-09,5.71078e-07,0.112395,563.79601072547,112.395
DataValue,0.515,0.001,1.04763e-09,5.97381e-07,0.1123955,570.221356776725,112.3955
DataValue,0.516,0.001,1.0872500000000001e-09,6.25156e-07,0.112399,574.988273166245,112.399
DataValue,0.517,0.001,1.12381e-09,6.44984e-07,0.112399,573.926197488899,112.399
DataValue,0.518,0.001,1.1606e-09,6.69831e-07,0.112396,577.141995519559,112.396
DataValue,0.519,0.001,1.2037100000000002e-09,6.95559e-07,0.1124,577.845992805576,112.4
DataValue,0.52,0.001,1.24558e-09,7.20001e-07,0.1123985,578.044766293614,112.3985
DataValue,0.521,0.001,1.28789e-09,7.48855e-07,0.112394,581.458820240859,112.394
DataValue,0.522,0.001,1.33462e-09,7.77373e-07,0.112396,582.467668699705,112.396
DataValue,0.523,0.001,1.37915e-09,8.2889e-07,0.1123955,601.015118007468,112.3955
DataValue,0.524,0.001,1.42707e-09,7.863699999999999e-07,0.1124015,551.0381410862819,112.4015
DataValue,0.525,0.001,1.48016e-09,8.814099999999999e-07,0.1123935,595.482920765323,112.3935
DataValue,0.526,0.001,1.53239e-09,9.1207e-07,0.1123955,595.1944348370849,112.3955
