DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.86,0.001,3.885e-10,5.97e-10,0.0203325,1.53667953667954,20.332499999999996
DataValue,0.8627000000000001,0.001,4.69924e-10,8.77e-10,0.02033,1.86625922489594,20.33
DataValue,0.8654,0.001,5.81816e-10,1.2700000000000002e-09,0.020332,2.18282068557757,20.332
DataValue,0.8681,0.001,6.959730000000001e-10,1.8429999999999997e-09,0.0203275,2.64809123342429,20.3275
DataValue,0.8708,0.001,8.69964e-10,2.692e-09,0.0203304999999999,3.0943809169115,20.330499999999997
DataValue,0.8736000000000002,0.001,1.08516e-09,4.021e-09,0.0203325,3.70544435843562,20.332499999999996
DataValue,0.8763,0.001,1.34042e-09,5.889000000000001e-09,0.020332,4.39339908386924,20.332
DataValue,0.879,0.001,1.66219e-09,8.612000000000001e-09,0.0203339999999999,5.18111647886222,20.334
DataValue,0.8817,0.001,2.008e-09,1.2495e-08,0.0203385,6.22260956175299,20.338500000000003
DataValue,0.8844,0.001,2.49138e-09,1.8266e-08,0.0203335,7.33167963136896,20.3335
DataValue,0.8871000000000001,0.001,3.0976200000000003e-09,2.6714000000000003e-08,0.0203355,8.62404039230119,20.3355
DataValue,0.8898,0.001,3.82151e-09,3.9078e-08,0.0203325,10.2258007960204,20.332499999999996
DataValue,0.8925,0.001,4.70612e-09,5.7203e-08,0.0203335,12.1550236713046,20.3335
DataValue,0.8953,0.001,5.7957700000000006e-09,8.457100000000002e-08,0.020339,14.5918488828922,20.339
DataValue,0.8980000000000001,0.001,7.09522e-09,1.2358899999999998e-07,0.020337,17.4186283159648,20.337
DataValue,0.9007,0.001,8.7704e-09,1.80553e-07,0.020335,20.5866323086746,20.335
DataValue,0.9034,0.001,1.080894e-08,2.63986e-07,0.020335,24.4229313882767,20.335
DataValue,0.9061,0.001,1.32158e-08,3.85299e-07,0.020348,29.1544212230815,20.348000000000003
DataValue,0.9088,0.001,1.6196800000000002e-08,5.621859999999999e-07,0.0203474999999999,34.7096957423689,20.347499999999997
DataValue,0.9115,0.001,1.97799e-08,8.18847e-07,0.020346,41.397934266604,20.346000000000004
DataValue,0.9142,0.001,2.40994e-08,1.19321e-06,0.0203395,49.512021046167106,20.3395
DataValue,0.9169,0.001,2.96693e-08,1.73344e-06,0.0203415,58.4253757250761,20.3415
DataValue,0.9197,0.001,3.6630600000000004e-08,2.5443699999999997e-06,0.020341,69.460232701621,20.341
DataValue,0.9224,0.001,4.5041000000000006e-08,3.68568e-06,0.0203415,81.8294442840967,20.3415
DataValue,0.9251,0.001,5.6020700000000006e-08,5.32545e-06,0.0203435,95.0621823718732,20.3435
DataValue,0.9278,0.001,6.863e-08,7.68439e-06,0.0203445,111.968381174414,20.3445
DataValue,0.9305,0.001,8.52601e-08,1.10541e-05,0.020342,129.651501698919,20.342
DataValue,0.9332,0.001,1.0585300000000001e-07,1.5869e-05,0.020345,149.915448782746,20.345
DataValue,0.9359,0.001,1.33154e-07,2.2679200000000005e-05,0.0203445,170.32308454871801,20.3445
DataValue,0.9386,0.001,1.65711e-07,3.23338e-05,0.020341,195.121627411578,20.341
DataValue,0.9414,0.001,2.0854599999999997e-07,4.63446e-05,0.0203415,222.227230443164,20.3415
DataValue,0.9441,0.001,2.61729e-07,6.550660000000001e-05,0.020341,250.284072456625,20.341
DataValue,0.9468,0.001,3.27673e-07,9.22013e-05,0.0203425,281.382048566711,20.3425
DataValue,0.9495,0.001,4.03611e-07,0.000129249,0.0203365,320.23160914841304,20.3365
DataValue,0.9522,0.001,5.07699e-07,0.000180073,0.0203365,354.684567036768,20.3365
DataValue,0.9549,0.001,6.32183e-07,0.000249601,0.020333,394.823967110789,20.333
DataValue,0.9576,0.001,7.87455e-07,0.000343908,0.0203345,436.73352763015,20.3345
DataValue,0.9603,0.001,9.75489e-07,0.000471124,0.0203365,482.96187860652503,20.3365
DataValue,0.9631,0.001,1.20266e-06,0.000647063,0.020333,538.02654116708,20.333
DataValue,0.9658,0.001,1.4912e-06,0.000873876,0.0203365,586.021995708154,20.3365
DataValue,0.9685,0.001,1.82577e-06,0.00117309,0.020341,642.517951330124,20.341
DataValue,0.9712,0.001,2.2352899999999997e-06,0.00156073,0.020349,698.2226019890039,20.349
DataValue,0.9739,0.001,2.71742e-06,0.00205841,0.020358,757.486880938537,20.358
DataValue,0.9766,0.001,3.2819699999999997e-06,0.00269065,0.020367,819.827725421012,20.367
DataValue,0.9793,0.001,3.9417e-06,0.003481,0.0203755,883.121495801304,20.3755
DataValue,0.982,0.001,4.68192e-06,0.00445708,0.0203905,951.97696671451,20.3905
DataValue,0.9847,0.001,5.54939e-06,0.00564485,0.0204145,1017.20189065825,20.414500000000004
DataValue,0.9875,0.001,6.5831e-06,0.00715634,0.020433,1087.07751667148,20.433
DataValue,0.9902,0.001,7.65434e-06,0.00884811,0.020463,1155.95988680931,20.463
DataValue,0.9929,0.001,8.85213e-06,0.01081695,0.0204915,1221.96013840737,20.4915
