DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.86,0.001,4.15298e-10,6.410000000000001e-10,0.0203385,1.54346999022389,20.338500000000003
DataValue,0.8627000000000001,0.001,5.17053e-10,9.41e-10,0.0203415,1.8199294849851,20.3415
DataValue,0.8654,0.001,6.48855e-10,1.375e-09,0.0203445,2.11911752240485,20.3445
DataValue,0.8681,0.001,8.02037e-10,1.978e-09,0.0203415,2.46622038634128,20.3415
DataValue,0.8708,0.001,1.0014e-09,2.892e-09,0.0203425,2.88795686039545,20.3425
DataValue,0.8736000000000002,0.001,1.26275e-09,4.329e-09,0.0203395,3.42823203326074,20.3395
DataValue,0.8763,0.001,1.56005e-09,6.3360000000000005e-09,0.020336,4.06140828819589,20.336
DataValue,0.879,0.001,1.88626e-09,9.257e-09,0.0203399999999999,4.90759492328735,20.339999999999996
DataValue,0.8817,0.001,2.3958400000000003e-09,1.3407e-08,0.020339,5.59594964605316,20.339
DataValue,0.8844,0.001,2.9545e-09,1.9591e-08,0.020342,6.63090201387714,20.342
DataValue,0.8871000000000001,0.001,3.6133699999999995e-09,2.8658e-08,0.020337,7.9311003301627,20.337
DataValue,0.8898,0.001,4.43265e-09,4.1919000000000006e-08,0.0203405,9.45687117187236,20.3405
DataValue,0.8925,0.001,5.43448e-09,6.131800000000001e-08,0.020339,11.2831402452489,20.339
DataValue,0.8953,0.001,6.63848e-09,9.0637e-08,0.0203375,13.6532760511442,20.3375
DataValue,0.8980000000000001,0.001,8.069390000000001e-09,1.3236399999999998e-07,0.020338,16.4032225484206,20.337999999999997
DataValue,0.9007,0.001,9.88903e-09,1.93404e-07,0.020344,19.5574287872521,20.344
DataValue,0.9034,0.001,1.1903600000000002e-08,2.82692e-07,0.0203425,23.7484458483148,20.3425
DataValue,0.9061,0.001,1.46928e-08,4.12165e-07,0.020345,28.0521752150713,20.345
DataValue,0.9088,0.001,1.81204e-08,6.007769999999999e-07,0.0203415,33.1547316836273,20.3415
DataValue,0.9115,0.001,2.19665e-08,8.75067e-07,0.020343,39.8364327498691,20.343
DataValue,0.9142,0.001,2.7118000000000002e-08,1.27301e-06,0.020338,46.943358654768005,20.337999999999997
