DataName, VB, IT, IB, IC, VT, beta, Rpt100
DataValue,0.48,0.001,2.80018e-10,1.36212e-07,0.111682,486.440157418452,111.682
DataValue,0.4821,0.001,3.00942e-10,1.4760699999999998e-07,0.1116865,490.483216034983,111.6865
DataValue,0.4841999999999999,0.001,3.21345e-10,1.5995999999999998e-07,0.1116825,497.782756850114,111.6825
DataValue,0.4863,0.001,3.42826e-10,1.73341e-07,0.111684,505.62384416584496,111.684
DataValue,0.4884,0.001,3.6735e-10,1.87863e-07,0.111682,511.400571661903,111.682
DataValue,0.4905,0.001,3.94364e-10,2.0360600000000003e-07,0.111688,516.2895193273221,111.68800000000002
DataValue,0.4926,0.001,4.2144000000000005e-10,2.20677e-07,0.111683,523.626138952164,111.683
DataValue,0.4947,0.001,4.50305e-10,2.39096e-07,0.111684,530.964568459156,111.684
DataValue,0.4968,0.001,4.84537e-10,2.5918199999999997e-07,0.1116849999999999,534.906519006804,111.685
DataValue,0.4989,0.001,5.19573e-10,2.8092e-07,0.1116895,540.674746378276,111.6895
DataValue,0.501,0.001,5.55442e-10,3.04378e-07,0.1116875,547.992409648532,111.6875
DataValue,0.5031,0.001,5.96094e-10,3.29861e-07,0.1116855,553.370777092204,111.6855
DataValue,0.5052,0.001,6.40886e-10,3.57414e-07,0.1116915,557.687326607228,111.6915
DataValue,0.5073,0.001,6.87578e-10,3.87403e-07,0.1116875,563.431348879691,111.6875
DataValue,0.5094,0.001,7.36978e-10,4.19876e-07,0.11169,569.726640415318,111.69
DataValue,0.5115,0.001,7.92385e-10,4.5503299999999994e-07,0.1116905,574.257463228102,111.6905
DataValue,0.5136,0.001,8.49415e-10,4.93123e-07,0.111691,580.5442569297691,111.691
DataValue,0.5157,0.001,9.12606e-10,5.344389999999999e-07,0.111687,585.6185473249129,111.687
DataValue,0.5178,0.001,9.80888e-10,5.79179e-07,0.1116875,590.4639469541879,111.6875
DataValue,0.5199,0.001,1.05412e-09,6.27597e-07,0.111691,595.375289340872,111.691
DataValue,0.522,0.001,1.13214e-09,6.80144e-07,0.1116895,600.7596233681351,111.6895
DataValue,0.5241,0.001,1.21731e-09,7.37106e-07,0.1116905,605.5203686817661,111.6905
DataValue,0.5262,0.001,1.30978e-09,7.98786e-07,0.1116905,609.8627250377931,111.6905
DataValue,0.5283000000000001,0.001,1.40854e-09,8.65558e-07,0.1116915,614.507220242237,111.6915
DataValue,0.5304,0.001,1.51329e-09,9.379899999999999e-07,0.1116925,619.834929194008,111.6925
DataValue,0.5325,0.001,1.63007e-09,1.016745e-06,0.1116905,623.743152134571,111.6905
DataValue,0.5346,0.001,1.75451e-09,1.101658e-06,0.111691,627.9006674228131,111.691
DataValue,0.5367,0.001,1.88219e-09,1.19113e-06,0.111691,632.8425929369511,111.691
DataValue,0.5388,0.001,2.02691e-09,1.29072e-06,0.1116875,636.7919641227289,111.6875
DataValue,0.5409,0.001,2.18152e-09,1.39868e-06,0.111687,641.1492904030221,111.687
DataValue,0.543,0.001,2.3486400000000003e-09,1.51525e-06,0.111687,645.1606035833499,111.687
DataValue,0.5451,0.001,2.52974e-09,1.64167e-06,0.1116915,648.948113244839,111.6915
DataValue,0.5472,0.001,2.7255e-09,1.7796e-06,0.1116935,652.944413869015,111.6935
DataValue,0.5493,0.001,2.93527e-09,1.9279e-06,0.111689,656.80499579255,111.689
DataValue,0.5514,0.001,3.16236e-09,2.08911e-06,0.111691,660.617387014761,111.691
DataValue,0.5535,0.001,3.40928e-09,2.26368e-06,0.1116905,663.975971466116,111.6905
DataValue,0.5556,0.001,3.6754600000000005e-09,2.45329e-06,0.111693,667.478356450621,111.693
DataValue,0.5577,0.001,3.96018e-09,2.65775e-06,0.1116905,671.1184845133299,111.6905
DataValue,0.5598,0.001,4.2677300000000005e-09,2.87963e-06,0.111691,674.745122114098,111.691
DataValue,0.5619,0.001,4.6040500000000005e-09,3.11991e-06,0.111695,677.644682399192,111.695
DataValue,0.564,0.001,4.96496e-09,3.3812e-06,0.111693,681.012535851246,111.693
DataValue,0.566,0.001,5.34012e-09,3.65371e-06,0.1116905,684.199980524782,111.6905
DataValue,0.5681,0.001,5.75985e-09,3.95877e-06,0.1116915,687.304356884294,111.6915
DataValue,0.5702,0.001,6.21449e-09,4.28977e-06,0.1116905,690.2851239602929,111.6905
DataValue,0.5723,0.001,6.70434e-09,4.64778e-06,0.1116945,693.249447372896,111.6945
DataValue,0.5744,0.001,7.23633e-09,5.036679999999999e-06,0.111693,696.0268533911519,111.693
DataValue,0.5765,0.001,7.80736e-09,5.45741e-06,0.1116955,699.008371587835,111.6955
DataValue,0.5786,0.001,8.42634e-09,5.91273e-06,0.1116945,701.696110054899,111.6945
DataValue,0.5807000000000001,0.001,9.09655e-09,6.405719999999999e-06,0.111698,704.1922487096759,111.698
DataValue,0.5828000000000001,0.001,9.8187e-09,6.94149e-06,0.1116935,706.966299000886,111.6935
DataValue,0.5849,0.001,1.060085e-08,7.52221e-06,0.1116925,709.585552101954,111.6925
DataValue,0.587,0.001,1.144605e-08,8.14996e-06,0.1116945,712.032535241415,111.6945
DataValue,0.5891,0.001,1.23611e-08,8.834939999999998e-06,0.111703,714.737361561673,111.703
DataValue,0.5912,0.001,1.33517e-08,9.56916e-06,0.111702,716.6997460997479,111.70199999999998
DataValue,0.5933,0.001,1.4420500000000002e-08,1.036831e-05,0.1117015,718.997954301168,111.7015
DataValue,0.5954,0.001,1.55726e-08,1.123449e-05,0.111704,721.426736704211,111.704
DataValue,0.5975,0.001,1.6815e-08,1.21735e-05,0.1117015,723.966696402022,111.7015
DataValue,0.5996,0.001,1.81703e-08,1.3188000000000001e-05,0.1116995,725.799794169606,111.6995
DataValue,0.6017000000000001,0.001,1.9635e-08,1.42909e-05,0.111703,727.827858416094,111.703
DataValue,0.6038000000000001,0.001,2.11509e-08,1.5436000000000003e-05,0.111698,729.803459900052,111.698
DataValue,0.6059000000000001,0.001,2.28575e-08,1.6726700000000004e-05,0.1117055,731.78169091108,111.7055
DataValue,0.6080000000000001,0.001,2.47018e-08,1.81208e-05,0.1117015,733.58216810111,111.7015
DataValue,0.6101,0.001,2.6695000000000002e-08,1.96322e-05,0.111706,735.426109758382,111.706
DataValue,0.6122,0.001,2.88484e-08,2.12705e-05,0.1117015,737.319920688842,111.7015
DataValue,0.6143,0.001,3.1192199999999997e-08,2.30542e-05,0.1117055,739.101442027174,111.7055
DataValue,0.6164,0.001,3.37143e-08,2.4976200000000003e-05,0.111706,740.819177618992,111.706
DataValue,0.6185,0.001,3.64399e-08,2.70591e-05,0.1117035,742.567899472831,111.7035
DataValue,0.6206,0.001,3.93931e-08,2.9307500000000004e-05,0.1117045,743.975467784968,111.7045
DataValue,0.6227,0.001,4.25948e-08,3.17571e-05,0.1117035,745.562838656362,111.7035
DataValue,0.6248,0.001,4.6054500000000004e-08,3.4403800000000004e-05,0.111706,747.023635041093,111.706
DataValue,0.6269,0.001,4.97922e-08,3.72703e-05,0.111701,748.5168359702931,111.701
DataValue,0.629,0.001,5.3851000000000004e-08,4.0377900000000005e-05,0.1117045,749.807803012015,111.7045
DataValue,0.6311,0.001,5.82327e-08,4.3740800000000006e-05,0.111702,751.138106253016,111.70199999999998
DataValue,0.6332,0.001,6.29636e-08,4.73831e-05,0.111705,752.547503637022,111.705
DataValue,0.6353,0.001,6.80837e-08,5.13166e-05,0.111701,753.72813169672,111.701
DataValue,0.6374,0.001,7.36195e-08,5.55861e-05,0.111706,755.045877790531,111.706
DataValue,0.6395,0.001,7.961290000000001e-08,6.02083e-05,0.111706,756.263118163011,111.706
DataValue,0.6416,0.001,8.61192e-08,6.52147e-05,0.1117075,757.260866334104,111.7075
DataValue,0.6437,0.001,9.31527e-08,7.064400000000001e-05,0.1117045,758.367712369046,111.7045
DataValue,0.6458,0.001,1.007462e-07,7.6512e-05,0.1117055,759.452961997574,111.7055
DataValue,0.6479,0.001,1.089551e-07,8.287720000000001e-05,0.1117045,760.654618278539,111.7045
DataValue,0.65,0.001,1.17826e-07,8.977890000000002e-05,0.1117095,761.961706244802,111.7095
DataValue,0.6521,0.001,1.2749e-07,9.72383e-05,0.111702,762.7131539728609,111.70199999999998
DataValue,0.6542,0.001,1.37549e-07,0.0001049881,0.111706,763.277813724564,111.706
DataValue,0.6563,0.001,1.48735e-07,0.0001136866,0.1117045,764.356741856322,111.7045
DataValue,0.6584,0.001,1.60828e-07,0.000123134,0.1117075,765.625388613923,111.7075
DataValue,0.6605,0.001,1.7401500000000001e-07,0.000133338,0.1117075,766.244289285406,111.7075
DataValue,0.6626,0.001,1.88291e-07,0.00014441,0.111709,766.951155392451,111.709
DataValue,0.6647,0.001,2.0360400000000003e-07,0.000156296,0.1117055,767.647001041237,111.7055
DataValue,0.6668,0.001,2.20249e-07,0.000169229,0.1117115,768.353091273967,111.7115
DataValue,0.6689,0.001,2.38286e-07,0.0001832209999999,0.1117095,768.912147587353,111.7095
DataValue,0.671,0.001,2.57694e-07,0.00019836,0.1117115,769.750168804862,111.7115
DataValue,0.6731,0.001,2.78737e-07,0.0002146739999999,0.1117124999999999,770.16685979974,111.7125
DataValue,0.6752,0.001,3.0133999999999997e-07,0.0002323719999999,0.111711,771.128957323953,111.711
DataValue,0.6773,0.001,3.26092e-07,0.000251491,0.111717,771.227138353594,111.717
DataValue,0.6794,0.001,3.52683e-07,0.00027215,0.1117095,771.65613312805,111.7095
DataValue,0.6815000000000001,0.001,3.81387e-07,0.000294489,0.111709,772.152695293757,111.709
DataValue,0.6836000000000001,0.001,4.12322e-07,0.000318664,0.1117115,772.8522853498,111.7115
DataValue,0.6857,0.001,4.45878e-07,0.000344742,0.111714,773.175622031139,111.714
DataValue,0.6878,0.001,4.8218e-07,0.000372964,0.1117119999999999,773.495375171098,111.712
DataValue,0.6899,0.001,5.213709999999999e-07,0.000403428,0.1117085,773.782968366096,111.70850000000002
DataValue,0.692,0.001,5.63619e-07,0.00043635,0.111718,774.193204984218,111.718
DataValue,0.6941,0.001,6.09321e-07,0.000471814,0.1117145,774.327489123139,111.7145
DataValue,0.6962,0.001,6.5655e-07,0.000508723,0.1117155,774.842738557612,111.7155
DataValue,0.6983,0.001,7.09691e-07,0.000549932,0.1117145,774.88935325374,111.7145
DataValue,0.7004,0.001,7.66901e-07,0.000594443,0.1117175,775.1235165947099,111.7175
DataValue,0.7025000000000001,0.001,8.28783e-07,0.000642422,0.1117205,775.138968825374,111.7205
DataValue,0.7046000000000001,0.001,8.950670000000001e-07,0.00069411,0.1117195,775.483846460656,111.7195
DataValue,0.7067000000000001,0.001,9.66763e-07,0.000749891,0.111721,775.6720106168731,111.721
DataValue,0.7088000000000001,0.001,1.044097e-06,0.00080995,0.1117195,775.742100590271,111.7195
DataValue,0.7109,0.001,1.127197e-06,0.000874592,0.111721,775.899864886085,111.721
DataValue,0.713,0.001,1.2167e-06,0.000944589,0.1117195,776.353250595874,111.7195
DataValue,0.7151,0.001,1.31374e-06,0.001019281,0.111717,775.862042717737,111.717
DataValue,0.7172,0.001,1.41721e-06,0.001099984,0.1117205,776.16161331066,111.7205
DataValue,0.7193,0.001,1.5289e-06,0.0011869,0.111723,776.30976519066,111.723
DataValue,0.7214,0.001,1.6492599999999998e-06,0.00127988,0.1117245,776.032887476808,111.7245
DataValue,0.7235,0.001,1.77833e-06,0.00137984,0.111722,775.918980166786,111.722
DataValue,0.7256,0.001,1.91686e-06,0.00148717,0.1117295,775.836524315808,111.7295
DataValue,0.7277,0.001,2.06594e-06,0.00160231,0.1117255,775.583995662991,111.7255
DataValue,0.7298,0.001,2.22537e-06,0.00172561,0.111731,775.42610891672,111.731
DataValue,0.7319,0.001,2.39601e-06,0.00185699,0.111731,775.034327903473,111.731
DataValue,0.734,0.001,2.57904e-06,0.00199814,0.1117355,774.761151436193,111.73550000000002
