VCE ,leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP1_IC2 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
0.0000000,-1.7629881E-6,-1.9103981E-6,-2.0450040E-6,-2.0986082E-6,-1.9502808E-6,-3.5169138E-6,-3.8089924E-6,-4.0752560E-6,-4.1808573E-6,-3.8884756E-6,-5.2427635E-6,-5.6729754E-6,-6.0644936E-6,-6.2192604E-6,-5.7908440E-6,-6.9394809E-6,-7.5013195E-6,-8.0118024E-6,-8.2130092E-6,-7.6563622E-6,-8.6079576E-6,-9.2952997E-6,-9.9188852E-6,-10.164018E-6,-9.4863919E-6,-10.249537E-6,-11.056697E-6,-11.787988E-6,-12.074746E-6,-11.282813E-6
10.000000E-3,9.1876486E-6,10.441185E-6,11.588864E-6,12.043325E-6,10.776643E-6,17.991606E-6,20.404293E-6,22.607859E-6,23.477046E-6,21.053678E-6,26.503941E-6,30.002149E-6,33.190034E-6,34.443021E-6,30.949347E-6,34.765979E-6,39.286907E-6,43.398394E-6,45.009074E-6,40.518527E-6,42.805888E-6,48.294568E-6,53.276833E-6,55.222603E-6,49.799128E-6,50.645133E-6,57.052721E-6,62.859112E-6,65.120104E-6,58.820199E-6
20.000000E-3,24.920353E-6,28.195763E-6,31.135376E-6,32.351989E-6,29.132085E-6,48.767723E-6,55.048076E-6,60.671608E-6,62.986699E-6,56.857702E-6,71.756733E-6,80.823555E-6,88.924994E-6,92.244213E-6,83.457660E-6,94.000564E-6,105.66699E-6,116.07115E-6,120.31496E-6,109.08489E-6,115.58043E-6,129.68334E-6,142.23824E-6,147.33819E-6,133.85022E-6,136.55992E-6,152.95501E-6,167.52713E-6,173.42350E-6,157.84063E-6
30.000000E-3,47.303975E-6,53.474891E-6,58.863071E-6,61.228877E-6,55.391314E-6,92.307536E-6,104.05514E-6,114.29255E-6,118.75350E-6,107.73911E-6,135.43812E-6,152.28046E-6,166.93083E-6,173.27143E-6,157.61592E-6,176.94191E-6,198.47018E-6,217.16532E-6,225.20634E-6,205.36102E-6,217.00052E-6,242.86158E-6,265.28538E-6,274.87488E-6,251.22631E-6,255.75801E-6,285.64311E-6,311.52089E-6,322.52839E-6,295.41153E-6
40.000000E-3,78.709191E-6,88.980993E-6,97.608951E-6,101.71373E-6,92.520199E-6,152.92925E-6,172.28263E-6,188.52020E-6,196.15815E-6,179.02211E-6,223.46793E-6,250.94548E-6,273.97276E-6,284.69646E-6,260.62230E-6,290.82401E-6,325.62679E-6,354.76166E-6,368.20771E-6,338.02638E-6,355.37347E-6,396.82374E-6,431.49022E-6,447.35819E-6,411.76710E-6,417.41698E-6,464.93308E-6,504.63949E-6,522.67764E-6,482.26859E-6
50.000000E-3,121.92918E-6,137.92058E-6,150.64438E-6,157.37961E-6,144.16509E-6,235.52491E-6,265.23544E-6,288.89006E-6,301.19571E-6,276.95052E-6,342.28352E-6,383.91867E-6,417.07769E-6,434.06905E-6,400.51450E-6,443.18691E-6,495.28684E-6,536.78827E-6,557.77231E-6,516.29485E-6,538.98763E-6,600.34717E-6,649.23307E-6,673.65763E-6,625.38758E-6,630.28956E-6,699.90214E-6,755.37480E-6,782.79363E-6,728.66233E-6
60.000000E-3,179.88776E-6,203.69458E-6,221.27694E-6,231.96160E-6,214.42380E-6,344.91579E-6,388.35113E-6,420.56519E-6,439.62289E-6,408.04652E-6,497.81089E-6,557.66659E-6,602.20145E-6,627.95151E-6,585.02960E-6,640.46118E-6,714.21965E-6,769.24370E-6,800.43481E-6,748.26293E-6,774.33037E-6,859.99026E-6,924.04018E-6,959.72516E-6,899.94880E-6,900.58944E-6,996.54028E-6,1.0684360E-3,1.1078860E-3,1.0418111E-3
70.000000E-3,255.05331E-6,289.26237E-6,312.11686E-6,328.62722E-6,307.27062E-6,484.75433E-6,545.79056E-6,587.01363E-6,615.59329E-6,577.89118E-6,693.92293E-6,776.32369E-6,832.45109E-6,870.04861E-6,819.77882E-6,886.06572E-6,985.74214E-6,1.0541133E-3,1.0986035E-3,1.0385975E-3,1.0639180E-3,1.1777761E-3,1.2563434E-3,1.3062219E-3,1.2386104E-3,1.2296468E-3,1.3553130E-3,1.4424869E-3,1.4966662E-3,1.4230703E-3
80.000000E-3,348.58472E-6,396.20129E-6,424.08761E-6,448.93796E-6,425.58905E-6,656.16617E-6,738.96059E-6,788.55184E-6,830.09344E-6,789.47028E-6,930.80926E-6,1.0399610E-3,1.1064940E-3,1.1594784E-3,1.1061927E-3,1.1786918E-3,1.3079704E-3,1.3878967E-3,1.4489574E-3,1.3863757E-3,1.4046487E-3,1.5496177E-3,1.6403125E-3,1.7072553E-3,1.6378181E-3,1.6124520E-3,1.7698998E-3,1.8694061E-3,1.9407626E-3,1.8662546E-3
90.000000E-3,459.44332E-6,523.70880E-6,555.50120E-6,591.80210E-6,569.98530E-6,856.64738E-6,965.34507E-6,1.0213984E-3,1.0798492E-3,1.0416538E-3,1.2040248E-3,1.3436787E-3,1.4180270E-3,1.4901258E-3,1.4402006E-3,1.5117217E-3,1.6734246E-3,1.7617111E-3,1.8425002E-3,1.7843217E-3,1.7877189E-3,1.9655632E-3,2.0646776E-3,2.1512280E-3,2.0872907E-3,2.0381338E-3,2.2281211E-3,2.3358307E-3,2.4263539E-3,2.3584424E-3
