Vcc ,IB_NPN10,IC_NPN10,IB_NPN16,IC_NPN16,IB_NPN32,IC_NPN32
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15.0000E-3,300.354E-15,247.354E-15,480.566E-15,395.766E-15,961.132E-15,791.532E-15
30.0000E-3,600.822E-15,453.736E-15,961.316E-15,725.978E-15,1.92263E-12,1.45196E-12
45.0000E-3,901.446E-15,636.801E-15,1.44231E-12,1.01888E-12,2.88463E-12,2.03776E-12
60.0000E-3,1.20228E-12,806.912E-15,1.92365E-12,1.29106E-12,3.84730E-12,2.58212E-12
75.0000E-3,1.50339E-12,970.396E-15,2.40543E-12,1.55263E-12,4.81086E-12,3.10527E-12
90.0000E-3,1.80488E-12,1.13154E-12,2.88781E-12,1.81046E-12,5.77562E-12,3.62091E-12
105.000E-3,2.10687E-12,1.29392E-12,3.37100E-12,2.07027E-12,6.74200E-12,4.14055E-12
120.000E-3,2.40954E-12,1.46162E-12,3.85527E-12,2.33859E-12,7.71053E-12,4.67718E-12
135.000E-3,2.71311E-12,1.64051E-12,4.34098E-12,2.62481E-12,8.68196E-12,5.24962E-12
150.000E-3,3.01790E-12,1.84022E-12,4.82863E-12,2.94435E-12,9.65727E-12,5.88870E-12
165.000E-3,3.32431E-12,2.07737E-12,5.31890E-12,3.32379E-12,10.6378E-12,6.64757E-12
180.000E-3,3.63293E-12,2.38109E-12,5.81269E-12,3.80975E-12,11.6254E-12,7.61949E-12
195.000E-3,3.94452E-12,2.80298E-12,6.31123E-12,4.48477E-12,12.6225E-12,8.96954E-12
210.000E-3,4.26014E-12,3.43349E-12,6.81622E-12,5.49358E-12,13.6324E-12,10.9872E-12
225.000E-3,4.58123E-12,4.43363E-12,7.32997E-12,7.09380E-12,14.6599E-12,14.1876E-12
240.000E-3,4.90983E-12,6.08773E-12,7.85572E-12,9.74038E-12,15.7114E-12,19.4808E-12
255.000E-3,5.24875E-12,8.89887E-12,8.39800E-12,14.2382E-12,16.7960E-12,28.4764E-12
270.000E-3,5.60203E-12,13.7571E-12,8.96325E-12,22.0113E-12,17.9265E-12,44.0226E-12
