VCE ,leafValue( B1_DP1 "mcparamset" 1 ),leafValue( B1_DP1 "mcparamset" 2 ),leafValue( B1_DP1 "mcparamset" 3 ),leafValue( B1_DP1 "mcparamset" 4 ),leafValue( B1_DP1 "mcparamset" 5 ),leafValue( B1_DP1 "mcparamset" 6 ),leafValue( B1_DP1 "mcparamset" 7 ),leafValue( B1_DP1 "mcparamset" 8 ),leafValue( B1_DP1 "mcparamset" 9 ),leafValue( B1_DP1 "mcparamset" 10 ),leafValue( B1_DP1 "mcparamset" 11 ),leafValue( B1_DP1 "mcparamset" 12 ),leafValue( B1_DP1 "mcparamset" 13 ),leafValue( B1_DP1 "mcparamset" 14 ),leafValue( B1_DP1 "mcparamset" 15 ),leafValue( B1_DP1 "mcparamset" 16 ),leafValue( B1_DP1 "mcparamset" 17 ),leafValue( B1_DP1 "mcparamset" 18 ),leafValue( B1_DP1 "mcparamset" 19 ),leafValue( B1_DP1 "mcparamset" 20 ),leafValue( B2_DP1 "mcparamset" 1 ),leafValue( B2_DP1 "mcparamset" 2 ),leafValue( B2_DP1 "mcparamset" 3 ),leafValue( B2_DP1 "mcparamset" 4 ),leafValue( B2_DP1 "mcparamset" 5 ),leafValue( B2_DP1 "mcparamset" 6 ),leafValue( B2_DP1 "mcparamset" 7 ),leafValue( B2_DP1 "mcparamset" 8 ),leafValue( B2_DP1 "mcparamset" 9 ),leafValue( B2_DP1 "mcparamset" 10 ),leafValue( B2_DP1 "mcparamset" 11 ),leafValue( B2_DP1 "mcparamset" 12 ),leafValue( B2_DP1 "mcparamset" 13 ),leafValue( B2_DP1 "mcparamset" 14 ),leafValue( B2_DP1 "mcparamset" 15 ),leafValue( B2_DP1 "mcparamset" 16 ),leafValue( B2_DP1 "mcparamset" 17 ),leafValue( B2_DP1 "mcparamset" 18 ),leafValue( B2_DP1 "mcparamset" 19 ),leafValue( B2_DP1 "mcparamset" 20 ),leafValue( B1_DP2 "mcparamset" 1 ),leafValue( B1_DP2 "mcparamset" 2 ),leafValue( B1_DP2 "mcparamset" 3 ),leafValue( B1_DP2 "mcparamset" 4 ),leafValue( B1_DP2 "mcparamset" 5 ),leafValue( B1_DP2 "mcparamset" 6 ),leafValue( B1_DP2 "mcparamset" 7 ),leafValue( B1_DP2 "mcparamset" 8 ),leafValue( B1_DP2 "mcparamset" 9 ),leafValue( B1_DP2 "mcparamset" 10 ),leafValue( B1_DP2 "mcparamset" 11 ),leafValue( B1_DP2 "mcparamset" 12 ),leafValue( B1_DP2 "mcparamset" 13 ),leafValue( B1_DP2 "mcparamset" 14 ),leafValue( B1_DP2 "mcparamset" 15 ),leafValue( B1_DP2 "mcparamset" 16 ),leafValue( B1_DP2 "mcparamset" 17 ),leafValue( B1_DP2 "mcparamset" 18 ),leafValue( B1_DP2 "mcparamset" 19 ),leafValue( B1_DP2 "mcparamset" 20 ),leafValue( B2_DP2 "mcparamset" 1 ),leafValue( B2_DP2 "mcparamset" 2 ),leafValue( B2_DP2 "mcparamset" 3 ),leafValue( B2_DP2 "mcparamset" 4 ),leafValue( B2_DP2 "mcparamset" 5 ),leafValue( B2_DP2 "mcparamset" 6 ),leafValue( B2_DP2 "mcparamset" 7 ),leafValue( B2_DP2 "mcparamset" 8 ),leafValue( B2_DP2 "mcparamset" 9 ),leafValue( B2_DP2 "mcparamset" 10 ),leafValue( B2_DP2 "mcparamset" 11 ),leafValue( B2_DP2 "mcparamset" 12 ),leafValue( B2_DP2 "mcparamset" 13 ),leafValue( B2_DP2 "mcparamset" 14 ),leafValue( B2_DP2 "mcparamset" 15 ),leafValue( B2_DP2 "mcparamset" 16 ),leafValue( B2_DP2 "mcparamset" 17 ),leafValue( B2_DP2 "mcparamset" 18 ),leafValue( B2_DP2 "mcparamset" 19 ),leafValue( B2_DP2 "mcparamset" 20 ),leafValue( B1_DP3 "mcparamset" 1 ),leafValue( B1_DP3 "mcparamset" 2 ),leafValue( B1_DP3 "mcparamset" 3 ),leafValue( B1_DP3 "mcparamset" 4 ),leafValue( B1_DP3 "mcparamset" 5 ),leafValue( B1_DP3 "mcparamset" 6 ),leafValue( B1_DP3 "mcparamset" 7 ),leafValue( B1_DP3 "mcparamset" 8 ),leafValue( B1_DP3 "mcparamset" 9 ),leafValue( B1_DP3 "mcparamset" 10 ),leafValue( B1_DP3 "mcparamset" 11 ),leafValue( B1_DP3 "mcparamset" 12 ),leafValue( B1_DP3 "mcparamset" 13 ),leafValue( B1_DP3 "mcparamset" 14 ),leafValue( B1_DP3 "mcparamset" 15 ),leafValue( B1_DP3 "mcparamset" 16 ),leafValue( B1_DP3 "mcparamset" 17 ),leafValue( B1_DP3 "mcparamset" 18 ),leafValue( B1_DP3 "mcparamset" 19 ),leafValue( B1_DP3 "mcparamset" 20 ),leafValue( B2_DP3 "mcparamset" 1 ),leafValue( B2_DP3 "mcparamset" 2 ),leafValue( B2_DP3 "mcparamset" 3 ),leafValue( B2_DP3 "mcparamset" 4 ),leafValue( B2_DP3 "mcparamset" 5 ),leafValue( B2_DP3 "mcparamset" 6 ),leafValue( B2_DP3 "mcparamset" 7 ),leafValue( B2_DP3 "mcparamset" 8 ),leafValue( B2_DP3 "mcparamset" 9 ),leafValue( B2_DP3 "mcparamset" 10 ),leafValue( B2_DP3 "mcparamset" 11 ),leafValue( B2_DP3 "mcparamset" 12 ),leafValue( B2_DP3 "mcparamset" 13 ),leafValue( B2_DP3 "mcparamset" 14 ),leafValue( B2_DP3 "mcparamset" 15 ),leafValue( B2_DP3 "mcparamset" 16 ),leafValue( B2_DP3 "mcparamset" 17 ),leafValue( B2_DP3 "mcparamset" 18 ),leafValue( B2_DP3 "mcparamset" 19 ),leafValue( B2_DP3 "mcparamset" 20 )
0.0000000,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5.0000000E-3,681.98743E-3,682.03069E-3,682.07515E-3,682.08630E-3,682.04117E-3,682.02001E-3,682.06177E-3,682.05850E-3,682.00839E-3,682.03070E-3,682.08057E-3,682.10799E-3,682.04763E-3,682.02668E-3,682.06861E-3,682.09919E-3,682.04408E-3,682.02264E-3,682.06840E-3,682.05227E-3,681.98881E-3,682.03205E-3,682.07326E-3,682.08825E-3,682.04211E-3,682.01856E-3,682.05777E-3,682.05860E-3,682.00659E-3,682.03639E-3,682.08631E-3,682.10831E-3,682.04307E-3,682.03069E-3,682.06866E-3,682.10146E-3,682.04485E-3,682.02221E-3,682.06582E-3,682.05072E-3,681.99084E-3,682.03116E-3,682.07235E-3,682.08655E-3,682.04371E-3,682.01674E-3,682.06619E-3,682.06001E-3,682.00616E-3,682.03793E-3,682.08224E-3,682.10430E-3,682.05114E-3,682.02315E-3,682.06883E-3,682.09284E-3,682.04876E-3,682.01950E-3,682.06751E-3,682.05376E-3,681.98872E-3,682.03263E-3,682.07756E-3,682.09359E-3,682.04110E-3,682.01883E-3,682.06105E-3,682.05582E-3,682.00845E-3,682.03808E-3,682.08247E-3,682.10276E-3,682.04470E-3,682.02720E-3,682.06470E-3,682.09442E-3,682.04405E-3,682.02250E-3,682.06429E-3,682.05291E-3,681.98922E-3,682.03171E-3,682.07637E-3,682.09079E-3,682.04044E-3,682.01967E-3,682.06299E-3,682.05789E-3,682.00440E-3,682.03838E-3,682.08384E-3,682.10638E-3,682.04634E-3,682.02550E-3,682.06675E-3,682.09440E-3,682.04380E-3,682.02641E-3,682.06649E-3,682.05416E-3,681.98605E-3,682.03412E-3,682.07452E-3,682.09158E-3,682.04051E-3,682.01637E-3,682.06398E-3,682.05721E-3,682.00437E-3,682.03654E-3,682.08782E-3,682.10547E-3,682.04626E-3,682.02959E-3,682.06887E-3,682.09563E-3,682.04620E-3,682.02100E-3,682.06165E-3,682.05449E-3
10.000000E-3,666.45925E-3,666.50711E-3,666.55629E-3,666.56862E-3,666.51870E-3,666.49530E-3,666.54149E-3,666.53787E-3,666.48244E-3,666.50712E-3,666.56229E-3,666.59262E-3,666.52584E-3,666.50267E-3,666.54906E-3,666.58288E-3,666.52192E-3,666.49821E-3,666.54882E-3,666.53098E-3,666.46078E-3,666.50861E-3,666.55421E-3,666.57078E-3,666.51974E-3,666.49369E-3,666.53706E-3,666.53799E-3,666.48044E-3,666.51342E-3,666.56864E-3,666.59297E-3,666.52081E-3,666.50711E-3,666.54911E-3,666.58539E-3,666.52277E-3,666.49773E-3,666.54597E-3,666.52927E-3,666.46303E-3,666.50763E-3,666.55320E-3,666.56890E-3,666.52151E-3,666.49168E-3,666.54638E-3,666.53954E-3,666.47997E-3,666.51512E-3,666.56413E-3,666.58853E-3,666.52973E-3,666.49877E-3,666.54930E-3,666.57586E-3,666.52710E-3,666.49473E-3,666.54784E-3,666.53263E-3,666.46068E-3,666.50926E-3,666.55896E-3,666.57669E-3,666.51862E-3,666.49399E-3,666.54069E-3,666.53491E-3,666.48250E-3,666.51529E-3,666.56439E-3,666.58684E-3,666.52261E-3,666.50325E-3,666.54473E-3,666.57761E-3,666.52189E-3,666.49805E-3,666.54428E-3,666.53169E-3,666.46124E-3,666.50824E-3,666.55764E-3,666.57360E-3,666.51790E-3,666.49492E-3,666.54284E-3,666.53719E-3,666.47803E-3,666.51561E-3,666.56591E-3,666.59084E-3,666.52442E-3,666.50137E-3,666.54699E-3,666.57758E-3,666.52161E-3,666.50238E-3,666.54671E-3,666.53307E-3,666.45773E-3,666.51091E-3,666.55560E-3,666.57446E-3,666.51797E-3,666.49127E-3,666.54394E-3,666.53644E-3,666.47799E-3,666.51358E-3,666.57030E-3,666.58983E-3,666.52433E-3,666.50589E-3,666.54934E-3,666.57894E-3,666.52427E-3,666.49639E-3,666.54136E-3,666.53344E-3
15.000000E-3,652.70425E-3,652.75735E-3,652.81193E-3,652.82561E-3,652.77021E-3,652.74425E-3,652.79550E-3,652.79149E-3,652.72998E-3,652.75737E-3,652.81859E-3,652.85225E-3,652.77814E-3,652.75243E-3,652.80391E-3,652.84144E-3,652.77379E-3,652.74748E-3,652.80364E-3,652.78384E-3,652.70595E-3,652.75903E-3,652.80962E-3,652.82801E-3,652.77137E-3,652.74246E-3,652.79059E-3,652.79162E-3,652.72777E-3,652.76436E-3,652.82563E-3,652.85263E-3,652.77255E-3,652.75736E-3,652.80396E-3,652.84423E-3,652.77474E-3,652.74694E-3,652.80048E-3,652.78194E-3,652.70844E-3,652.75793E-3,652.80850E-3,652.82592E-3,652.77333E-3,652.74023E-3,652.80093E-3,652.79334E-3,652.72724E-3,652.76624E-3,652.82063E-3,652.84771E-3,652.78246E-3,652.74811E-3,652.80417E-3,652.83364E-3,652.77954E-3,652.74361E-3,652.80255E-3,652.78568E-3,652.70583E-3,652.75974E-3,652.81490E-3,652.83456E-3,652.77013E-3,652.74279E-3,652.79462E-3,652.78821E-3,652.73005E-3,652.76643E-3,652.82092E-3,652.84583E-3,652.77456E-3,652.75307E-3,652.79910E-3,652.83559E-3,652.77375E-3,652.74731E-3,652.79860E-3,652.78463E-3,652.70645E-3,652.75861E-3,652.81343E-3,652.83113E-3,652.76932E-3,652.74383E-3,652.79700E-3,652.79074E-3,652.72508E-3,652.76679E-3,652.82260E-3,652.85027E-3,652.77657E-3,652.75099E-3,652.80161E-3,652.83556E-3,652.77344E-3,652.75210E-3,652.80130E-3,652.78616E-3,652.70256E-3,652.76157E-3,652.81116E-3,652.83210E-3,652.76940E-3,652.73978E-3,652.79822E-3,652.78991E-3,652.72504E-3,652.76453E-3,652.82748E-3,652.84915E-3,652.77646E-3,652.75601E-3,652.80422E-3,652.83707E-3,652.77640E-3,652.74546E-3,652.79536E-3,652.78657E-3
20.000000E-3,640.49652E-3,640.55562E-3,640.61637E-3,640.63161E-3,640.56994E-3,640.54104E-3,640.59809E-3,640.59362E-3,640.52516E-3,640.55565E-3,640.62379E-3,640.66125E-3,640.57877E-3,640.55015E-3,640.60744E-3,640.64922E-3,640.57392E-3,640.54463E-3,640.60715E-3,640.58511E-3,640.49841E-3,640.55749E-3,640.61380E-3,640.63427E-3,640.57123E-3,640.53905E-3,640.59263E-3,640.59376E-3,640.52269E-3,640.56342E-3,640.63163E-3,640.66168E-3,640.57254E-3,640.55564E-3,640.60751E-3,640.65232E-3,640.57498E-3,640.54404E-3,640.60363E-3,640.58300E-3,640.50119E-3,640.55626E-3,640.61256E-3,640.63195E-3,640.57341E-3,640.53657E-3,640.60413E-3,640.59568E-3,640.52211E-3,640.56552E-3,640.62605E-3,640.65620E-3,640.58357E-3,640.54534E-3,640.60773E-3,640.64054E-3,640.58032E-3,640.54033E-3,640.60593E-3,640.58716E-3,640.49828E-3,640.55828E-3,640.61968E-3,640.64157E-3,640.56985E-3,640.53942E-3,640.59711E-3,640.58997E-3,640.52524E-3,640.56573E-3,640.62638E-3,640.65411E-3,640.57477E-3,640.55086E-3,640.60210E-3,640.64271E-3,640.57388E-3,640.54444E-3,640.60154E-3,640.58599E-3,640.49897E-3,640.55703E-3,640.61804E-3,640.63775E-3,640.56895E-3,640.54057E-3,640.59976E-3,640.59278E-3,640.51971E-3,640.56613E-3,640.62825E-3,640.65905E-3,640.57701E-3,640.54855E-3,640.60489E-3,640.64267E-3,640.57353E-3,640.54978E-3,640.60454E-3,640.58769E-3,640.49464E-3,640.56032E-3,640.61552E-3,640.63882E-3,640.56904E-3,640.53606E-3,640.60112E-3,640.59186E-3,640.51966E-3,640.56362E-3,640.63368E-3,640.65780E-3,640.57689E-3,640.55413E-3,640.60779E-3,640.64435E-3,640.57682E-3,640.54239E-3,640.59793E-3,640.58815E-3
25.000000E-3,629.64123E-3,629.70723E-3,629.77505E-3,629.79206E-3,629.72321E-3,629.69094E-3,629.75464E-3,629.74965E-3,629.67321E-3,629.70725E-3,629.78333E-3,629.82516E-3,629.73306E-3,629.70111E-3,629.76508E-3,629.81173E-3,629.72765E-3,629.69495E-3,629.76475E-3,629.74015E-3,629.64335E-3,629.70931E-3,629.77218E-3,629.79504E-3,629.72465E-3,629.68872E-3,629.74854E-3,629.74981E-3,629.67046E-3,629.71594E-3,629.79208E-3,629.82564E-3,629.72612E-3,629.70724E-3,629.76515E-3,629.81519E-3,629.72883E-3,629.69429E-3,629.76082E-3,629.73779E-3,629.64645E-3,629.70794E-3,629.77079E-3,629.79244E-3,629.72708E-3,629.68595E-3,629.76138E-3,629.75195E-3,629.66981E-3,629.71828E-3,629.78586E-3,629.81952E-3,629.73842E-3,629.69574E-3,629.76541E-3,629.80204E-3,629.73480E-3,629.69015E-3,629.76340E-3,629.74243E-3,629.64320E-3,629.71020E-3,629.77874E-3,629.80318E-3,629.72310E-3,629.68913E-3,629.75354E-3,629.74557E-3,629.67330E-3,629.71851E-3,629.78623E-3,629.81718E-3,629.72861E-3,629.70191E-3,629.75911E-3,629.80446E-3,629.72761E-3,629.69474E-3,629.75849E-3,629.74113E-3,629.64397E-3,629.70879E-3,629.77692E-3,629.79892E-3,629.72210E-3,629.69042E-3,629.75651E-3,629.74871E-3,629.66712E-3,629.71896E-3,629.78831E-3,629.82270E-3,629.73110E-3,629.69933E-3,629.76223E-3,629.80442E-3,629.72722E-3,629.70070E-3,629.76184E-3,629.74303E-3,629.63914E-3,629.71247E-3,629.77410E-3,629.80012E-3,629.72220E-3,629.68539E-3,629.75802E-3,629.74768E-3,629.66707E-3,629.71615E-3,629.79438E-3,629.82131E-3,629.73097E-3,629.70556E-3,629.76547E-3,629.80629E-3,629.73089E-3,629.69245E-3,629.75446E-3,629.74354E-3
30.000000E-3,619.97028E-3,620.04418E-3,620.12014E-3,620.13918E-3,620.06208E-3,620.02594E-3,620.09728E-3,620.09169E-3,620.00609E-3,620.04421E-3,620.12941E-3,620.17625E-3,620.07312E-3,620.03734E-3,620.10897E-3,620.16121E-3,620.06706E-3,620.03044E-3,620.10860E-3,620.08105E-3,619.97265E-3,620.04651E-3,620.11692E-3,620.14252E-3,620.06369E-3,620.02346E-3,620.09045E-3,620.09187E-3,620.00301E-3,620.05394E-3,620.13921E-3,620.17679E-3,620.06534E-3,620.04420E-3,620.10905E-3,620.16509E-3,620.06838E-3,620.02970E-3,620.10420E-3,620.07841E-3,619.97612E-3,620.04498E-3,620.11537E-3,620.13961E-3,620.06642E-3,620.02035E-3,620.10483E-3,620.09427E-3,620.00228E-3,620.05656E-3,620.13224E-3,620.16993E-3,620.07912E-3,620.03132E-3,620.10934E-3,620.15036E-3,620.07506E-3,620.02506E-3,620.10708E-3,620.08361E-3,619.97249E-3,620.04751E-3,620.12427E-3,620.15164E-3,620.06196E-3,620.02392E-3,620.09605E-3,620.08712E-3,620.00619E-3,620.05682E-3,620.13265E-3,620.16732E-3,620.06812E-3,620.03823E-3,620.10229E-3,620.15307E-3,620.06701E-3,620.03020E-3,620.10160E-3,620.08215E-3,619.97335E-3,620.04594E-3,620.12223E-3,620.14687E-3,620.06084E-3,620.02536E-3,620.09937E-3,620.09064E-3,619.99928E-3,620.05733E-3,620.13499E-3,620.17349E-3,620.07092E-3,620.03534E-3,620.10578E-3,620.15302E-3,620.06657E-3,620.03687E-3,620.10535E-3,620.08428E-3,619.96794E-3,620.05005E-3,620.11907E-3,620.14821E-3,620.06095E-3,620.01973E-3,620.10107E-3,620.08949E-3,619.99922E-3,620.05418E-3,620.14178E-3,620.17194E-3,620.07078E-3,620.04232E-3,620.10941E-3,620.15512E-3,620.07069E-3,620.02763E-3,620.09708E-3,620.08485E-3
35.000000E-3,611.33852E-3,611.42152E-3,611.50683E-3,611.52821E-3,611.44161E-3,611.40103E-3,611.48116E-3,611.47488E-3,611.37873E-3,611.42155E-3,611.51723E-3,611.56985E-3,611.45401E-3,611.41383E-3,611.49428E-3,611.55295E-3,611.44721E-3,611.40608E-3,611.49387E-3,611.46293E-3,611.34118E-3,611.42413E-3,611.50322E-3,611.53196E-3,611.44343E-3,611.39824E-3,611.47348E-3,611.47507E-3,611.37527E-3,611.43247E-3,611.52824E-3,611.57045E-3,611.44528E-3,611.42154E-3,611.49437E-3,611.55731E-3,611.44869E-3,611.40524E-3,611.48893E-3,611.45996E-3,611.34508E-3,611.42241E-3,611.50147E-3,611.52870E-3,611.44649E-3,611.39475E-3,611.48963E-3,611.47777E-3,611.37446E-3,611.43542E-3,611.52042E-3,611.56275E-3,611.46076E-3,611.40707E-3,611.49469E-3,611.54077E-3,611.45620E-3,611.40004E-3,611.49216E-3,611.46580E-3,611.34100E-3,611.42525E-3,611.51147E-3,611.54221E-3,611.44148E-3,611.39876E-3,611.47977E-3,611.46974E-3,611.37885E-3,611.43571E-3,611.52088E-3,611.55981E-3,611.44841E-3,611.41484E-3,611.48678E-3,611.54381E-3,611.44715E-3,611.40581E-3,611.48600E-3,611.46416E-3,611.34196E-3,611.42349E-3,611.50917E-3,611.53684E-3,611.44023E-3,611.40037E-3,611.48350E-3,611.47370E-3,611.37108E-3,611.43628E-3,611.52350E-3,611.56675E-3,611.45155E-3,611.41159E-3,611.49070E-3,611.54376E-3,611.44667E-3,611.41331E-3,611.49021E-3,611.46655E-3,611.33589E-3,611.42811E-3,611.50563E-3,611.53835E-3,611.44035E-3,611.39405E-3,611.48541E-3,611.47240E-3,611.37102E-3,611.43275E-3,611.53113E-3,611.56500E-3,611.45139E-3,611.41942E-3,611.49477E-3,611.54612E-3,611.45128E-3,611.40293E-3,611.48093E-3,611.46720E-3
40.000000E-3,603.62059E-3,603.71407E-3,603.81017E-3,603.83425E-3,603.73671E-3,603.69100E-3,603.78125E-3,603.77417E-3,603.66588E-3,603.71411E-3,603.82188E-3,603.88114E-3,603.75067E-3,603.70542E-3,603.79603E-3,603.86212E-3,603.74301E-3,603.69668E-3,603.79557E-3,603.76072E-3,603.62358E-3,603.71702E-3,603.80610E-3,603.83847E-3,603.73875E-3,603.68785E-3,603.77260E-3,603.77440E-3,603.66199E-3,603.72641E-3,603.83428E-3,603.88182E-3,603.74083E-3,603.71410E-3,603.79613E-3,603.86702E-3,603.74468E-3,603.69574E-3,603.79000E-3,603.75738E-3,603.62797E-3,603.71508E-3,603.80413E-3,603.83480E-3,603.74220E-3,603.68393E-3,603.79080E-3,603.77743E-3,603.66107E-3,603.72974E-3,603.82547E-3,603.87316E-3,603.75827E-3,603.69781E-3,603.79649E-3,603.84839E-3,603.75314E-3,603.68988E-3,603.79365E-3,603.76395E-3,603.62338E-3,603.71828E-3,603.81539E-3,603.85001E-3,603.73656E-3,603.68844E-3,603.77969E-3,603.76839E-3,603.66601E-3,603.73006E-3,603.82599E-3,603.86984E-3,603.74436E-3,603.70655E-3,603.78758E-3,603.85182E-3,603.74295E-3,603.69638E-3,603.78670E-3,603.76210E-3,603.62447E-3,603.71629E-3,603.81280E-3,603.84397E-3,603.73514E-3,603.69026E-3,603.78389E-3,603.77284E-3,603.65726E-3,603.73070E-3,603.82895E-3,603.87765E-3,603.74790E-3,603.70289E-3,603.79200E-3,603.85176E-3,603.74240E-3,603.70482E-3,603.79145E-3,603.76480E-3,603.61762E-3,603.72150E-3,603.80881E-3,603.84567E-3,603.73528E-3,603.68314E-3,603.78603E-3,603.77138E-3,603.65719E-3,603.72672E-3,603.83754E-3,603.87569E-3,603.74771E-3,603.71171E-3,603.79659E-3,603.85442E-3,603.74760E-3,603.69313E-3,603.78099E-3,603.76552E-3
45.000000E-3,596.70822E-3,596.81381E-3,596.92235E-3,596.94956E-3,596.83938E-3,596.78775E-3,596.88969E-3,596.88170E-3,596.75938E-3,596.81386E-3,596.93558E-3,597.00252E-3,596.85515E-3,596.80404E-3,596.90639E-3,596.98103E-3,596.84649E-3,596.79417E-3,596.90586E-3,596.86650E-3,596.71160E-3,596.81714E-3,596.91775E-3,596.95432E-3,596.84169E-3,596.78420E-3,596.87992E-3,596.88195E-3,596.75498E-3,596.82775E-3,596.94959E-3,597.00329E-3,596.84404E-3,596.81385E-3,596.90650E-3,596.98657E-3,596.84838E-3,596.79311E-3,596.89958E-3,596.86273E-3,596.71657E-3,596.81495E-3,596.91554E-3,596.95017E-3,596.84558E-3,596.77976E-3,596.90047E-3,596.88538E-3,596.75394E-3,596.83151E-3,596.93964E-3,596.99350E-3,596.86373E-3,596.79544E-3,596.90691E-3,596.96553E-3,596.85794E-3,596.78649E-3,596.90369E-3,596.87016E-3,596.71137E-3,596.81857E-3,596.92825E-3,596.96736E-3,596.83921E-3,596.78486E-3,596.88792E-3,596.87516E-3,596.75953E-3,596.83188E-3,596.94022E-3,596.98976E-3,596.84802E-3,596.80532E-3,596.89684E-3,596.96940E-3,596.84643E-3,596.79383E-3,596.89585E-3,596.86806E-3,596.71260E-3,596.81632E-3,596.92533E-3,596.96053E-3,596.83761E-3,596.78691E-3,596.89267E-3,596.88020E-3,596.74965E-3,596.83260E-3,596.94356E-3,596.99858E-3,596.85202E-3,596.80118E-3,596.90183E-3,596.96934E-3,596.84581E-3,596.80336E-3,596.90121E-3,596.87111E-3,596.70487E-3,596.82220E-3,596.92082E-3,596.96245E-3,596.83777E-3,596.77887E-3,596.89509E-3,596.87854E-3,596.74957E-3,596.82810E-3,596.95327E-3,596.99636E-3,596.85181E-3,596.81115E-3,596.90701E-3,596.97234E-3,596.85168E-3,596.79016E-3,596.88940E-3,596.87193E-3
