VCE ,leafValue( DP1_IB1 "mcparamset" 1 ) (A),leafValue( DP1_IB1 "mcparamset" 2 ) (A),leafValue( DP1_IB1 "mcparamset" 3 ) (A),leafValue( DP1_IB1 "mcparamset" 4 ) (A),leafValue( DP1_IB1 "mcparamset" 5 ) (A),leafValue( DP1_IB1 "mcparamset" 6 ) (A),leafValue( DP1_IB1 "mcparamset" 7 ) (A),leafValue( DP1_IB1 "mcparamset" 8 ) (A),leafValue( DP1_IB1 "mcparamset" 9 ) (A),leafValue( DP1_IB1 "mcparamset" 10 ) (A),leafValue( DP1_IB1 "mcparamset" 11 ) (A),leafValue( DP1_IB1 "mcparamset" 12 ) (A),leafValue( DP1_IB1 "mcparamset" 13 ) (A),leafValue( DP1_IB1 "mcparamset" 14 ) (A),leafValue( DP1_IB1 "mcparamset" 15 ) (A),leafValue( DP1_IB1 "mcparamset" 16 ) (A),leafValue( DP1_IB1 "mcparamset" 17 ) (A),leafValue( DP1_IB1 "mcparamset" 18 ) (A),leafValue( DP1_IB1 "mcparamset" 19 ) (A),leafValue( DP1_IB1 "mcparamset" 20 ) (A),leafValue( DP1_IB2 "mcparamset" 1 ) (A),leafValue( DP1_IB2 "mcparamset" 2 ) (A),leafValue( DP1_IB2 "mcparamset" 3 ) (A),leafValue( DP1_IB2 "mcparamset" 4 ) (A),leafValue( DP1_IB2 "mcparamset" 5 ) (A),leafValue( DP1_IB2 "mcparamset" 6 ) (A),leafValue( DP1_IB2 "mcparamset" 7 ) (A),leafValue( DP1_IB2 "mcparamset" 8 ) (A),leafValue( DP1_IB2 "mcparamset" 9 ) (A),leafValue( DP1_IB2 "mcparamset" 10 ) (A),leafValue( DP1_IB2 "mcparamset" 11 ) (A),leafValue( DP1_IB2 "mcparamset" 12 ) (A),leafValue( DP1_IB2 "mcparamset" 13 ) (A),leafValue( DP1_IB2 "mcparamset" 14 ) (A),leafValue( DP1_IB2 "mcparamset" 15 ) (A),leafValue( DP1_IB2 "mcparamset" 16 ) (A),leafValue( DP1_IB2 "mcparamset" 17 ) (A),leafValue( DP1_IB2 "mcparamset" 18 ) (A),leafValue( DP1_IB2 "mcparamset" 19 ) (A),leafValue( DP1_IB2 "mcparamset" 20 ) (A),leafValue( DP2_IB1 "mcparamset" 1 ) (A),leafValue( DP2_IB1 "mcparamset" 2 ) (A),leafValue( DP2_IB1 "mcparamset" 3 ) (A),leafValue( DP2_IB1 "mcparamset" 4 ) (A),leafValue( DP2_IB1 "mcparamset" 5 ) (A),leafValue( DP2_IB1 "mcparamset" 6 ) (A),leafValue( DP2_IB1 "mcparamset" 7 ) (A),leafValue( DP2_IB1 "mcparamset" 8 ) (A),leafValue( DP2_IB1 "mcparamset" 9 ) (A),leafValue( DP2_IB1 "mcparamset" 10 ) (A),leafValue( DP2_IB1 "mcparamset" 11 ) (A),leafValue( DP2_IB1 "mcparamset" 12 ) (A),leafValue( DP2_IB1 "mcparamset" 13 ) (A),leafValue( DP2_IB1 "mcparamset" 14 ) (A),leafValue( DP2_IB1 "mcparamset" 15 ) (A),leafValue( DP2_IB1 "mcparamset" 16 ) (A),leafValue( DP2_IB1 "mcparamset" 17 ) (A),leafValue( DP2_IB1 "mcparamset" 18 ) (A),leafValue( DP2_IB1 "mcparamset" 19 ) (A),leafValue( DP2_IB1 "mcparamset" 20 ) (A),leafValue( DP2_IB2 "mcparamset" 1 ) (A),leafValue( DP2_IB2 "mcparamset" 2 ) (A),leafValue( DP2_IB2 "mcparamset" 3 ) (A),leafValue( DP2_IB2 "mcparamset" 4 ) (A),leafValue( DP2_IB2 "mcparamset" 5 ) (A),leafValue( DP2_IB2 "mcparamset" 6 ) (A),leafValue( DP2_IB2 "mcparamset" 7 ) (A),leafValue( DP2_IB2 "mcparamset" 8 ) (A),leafValue( DP2_IB2 "mcparamset" 9 ) (A),leafValue( DP2_IB2 "mcparamset" 10 ) (A),leafValue( DP2_IB2 "mcparamset" 11 ) (A),leafValue( DP2_IB2 "mcparamset" 12 ) (A),leafValue( DP2_IB2 "mcparamset" 13 ) (A),leafValue( DP2_IB2 "mcparamset" 14 ) (A),leafValue( DP2_IB2 "mcparamset" 15 ) (A),leafValue( DP2_IB2 "mcparamset" 16 ) (A),leafValue( DP2_IB2 "mcparamset" 17 ) (A),leafValue( DP2_IB2 "mcparamset" 18 ) (A),leafValue( DP2_IB2 "mcparamset" 19 ) (A),leafValue( DP2_IB2 "mcparamset" 20 ) (A),leafValue( DP3_IB1 "mcparamset" 1 ) (A),leafValue( DP3_IB1 "mcparamset" 2 ) (A),leafValue( DP3_IB1 "mcparamset" 3 ) (A),leafValue( DP3_IB1 "mcparamset" 4 ) (A),leafValue( DP3_IB1 "mcparamset" 5 ) (A),leafValue( DP3_IB1 "mcparamset" 6 ) (A),leafValue( DP3_IB1 "mcparamset" 7 ) (A),leafValue( DP3_IB1 "mcparamset" 8 ) (A),leafValue( DP3_IB1 "mcparamset" 9 ) (A),leafValue( DP3_IB1 "mcparamset" 10 ) (A),leafValue( DP3_IB1 "mcparamset" 11 ) (A),leafValue( DP3_IB1 "mcparamset" 12 ) (A),leafValue( DP3_IB1 "mcparamset" 13 ) (A),leafValue( DP3_IB1 "mcparamset" 14 ) (A),leafValue( DP3_IB1 "mcparamset" 15 ) (A),leafValue( DP3_IB1 "mcparamset" 16 ) (A),leafValue( DP3_IB1 "mcparamset" 17 ) (A),leafValue( DP3_IB1 "mcparamset" 18 ) (A),leafValue( DP3_IB1 "mcparamset" 19 ) (A),leafValue( DP3_IB1 "mcparamset" 20 ) (A),leafValue( DP3_IB2 "mcparamset" 1 ) (A),leafValue( DP3_IB2 "mcparamset" 2 ) (A),leafValue( DP3_IB2 "mcparamset" 3 ) (A),leafValue( DP3_IB2 "mcparamset" 4 ) (A),leafValue( DP3_IB2 "mcparamset" 5 ) (A),leafValue( DP3_IB2 "mcparamset" 6 ) (A),leafValue( DP3_IB2 "mcparamset" 7 ) (A),leafValue( DP3_IB2 "mcparamset" 8 ) (A),leafValue( DP3_IB2 "mcparamset" 9 ) (A),leafValue( DP3_IB2 "mcparamset" 10 ) (A),leafValue( DP3_IB2 "mcparamset" 11 ) (A),leafValue( DP3_IB2 "mcparamset" 12 ) (A),leafValue( DP3_IB2 "mcparamset" 13 ) (A),leafValue( DP3_IB2 "mcparamset" 14 ) (A),leafValue( DP3_IB2 "mcparamset" 15 ) (A),leafValue( DP3_IB2 "mcparamset" 16 ) (A),leafValue( DP3_IB2 "mcparamset" 17 ) (A),leafValue( DP3_IB2 "mcparamset" 18 ) (A),leafValue( DP3_IB2 "mcparamset" 19 ) (A),leafValue( DP3_IB2 "mcparamset" 20 ) (A)
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
5.0000000E-3,400.29323E-15,400.29321E-15,400.29325E-15,400.29322E-15,400.29318E-15,400.29321E-15,400.29324E-15,400.29320E-15,400.29323E-15,400.29324E-15,400.29322E-15,400.29322E-15,400.29320E-15,400.29326E-15,400.29321E-15,400.29323E-15,400.29321E-15,400.29319E-15,400.29322E-15,400.29325E-15,400.29323E-15,400.29322E-15,400.29324E-15,400.29322E-15,400.29319E-15,400.29321E-15,400.29323E-15,400.29320E-15,400.29322E-15,400.29324E-15,400.29321E-15,400.29323E-15,400.29321E-15,400.29325E-15,400.29322E-15,400.29324E-15,400.29321E-15,400.29319E-15,400.29322E-15,400.29325E-15,400.29323E-15,400.29321E-15,400.29325E-15,400.29323E-15,400.29318E-15,400.29321E-15,400.29323E-15,400.29320E-15,400.29322E-15,400.29324E-15,400.29321E-15,400.29323E-15,400.29321E-15,400.29325E-15,400.29322E-15,400.29323E-15,400.29321E-15,400.29319E-15,400.29322E-15,400.29325E-15,400.29323E-15,400.29321E-15,400.29325E-15,400.29322E-15,400.29319E-15,400.29321E-15,400.29323E-15,400.29320E-15,400.29322E-15,400.29324E-15,400.29322E-15,400.29323E-15,400.29321E-15,400.29326E-15,400.29322E-15,400.29323E-15,400.29321E-15,400.29319E-15,400.29322E-15,400.29324E-15,400.29323E-15,400.29322E-15,400.29324E-15,400.29322E-15,400.29318E-15,400.29321E-15,400.29324E-15,400.29319E-15,400.29322E-15,400.29324E-15,400.29322E-15,400.29323E-15,400.29321E-15,400.29326E-15,400.29322E-15,400.29324E-15,400.29321E-15,400.29319E-15,400.29322E-15,400.29325E-15,400.29323E-15,400.29322E-15,400.29324E-15,400.29322E-15,400.29318E-15,400.29321E-15,400.29323E-15,400.29319E-15,400.29322E-15,400.29324E-15,400.29321E-15,400.29324E-15,400.29320E-15,400.29326E-15,400.29322E-15,400.29323E-15,400.29321E-15,400.29319E-15,400.29322E-15,400.29325E-15
10.000000E-3,800.61557E-15,800.61553E-15,800.61562E-15,800.61556E-15,800.61546E-15,800.61552E-15,800.61559E-15,800.61550E-15,800.61556E-15,800.61558E-15,800.61554E-15,800.61556E-15,800.61551E-15,800.61563E-15,800.61553E-15,800.61558E-15,800.61552E-15,800.61549E-15,800.61555E-15,800.61561E-15,800.61557E-15,800.61555E-15,800.61559E-15,800.61555E-15,800.61547E-15,800.61553E-15,800.61557E-15,800.61550E-15,800.61554E-15,800.61559E-15,800.61554E-15,800.61556E-15,800.61552E-15,800.61563E-15,800.61554E-15,800.61558E-15,800.61553E-15,800.61548E-15,800.61555E-15,800.61561E-15,800.61558E-15,800.61552E-15,800.61561E-15,800.61556E-15,800.61546E-15,800.61552E-15,800.61557E-15,800.61550E-15,800.61555E-15,800.61560E-15,800.61552E-15,800.61557E-15,800.61552E-15,800.61562E-15,800.61554E-15,800.61558E-15,800.61553E-15,800.61549E-15,800.61555E-15,800.61562E-15,800.61557E-15,800.61554E-15,800.61561E-15,800.61555E-15,800.61548E-15,800.61553E-15,800.61558E-15,800.61550E-15,800.61555E-15,800.61558E-15,800.61554E-15,800.61558E-15,800.61552E-15,800.61563E-15,800.61554E-15,800.61557E-15,800.61552E-15,800.61548E-15,800.61555E-15,800.61560E-15,800.61557E-15,800.61554E-15,800.61560E-15,800.61554E-15,800.61547E-15,800.61553E-15,800.61559E-15,800.61549E-15,800.61554E-15,800.61559E-15,800.61554E-15,800.61556E-15,800.61553E-15,800.61564E-15,800.61554E-15,800.61559E-15,800.61553E-15,800.61548E-15,800.61555E-15,800.61560E-15,800.61557E-15,800.61555E-15,800.61560E-15,800.61555E-15,800.61546E-15,800.61553E-15,800.61557E-15,800.61549E-15,800.61555E-15,800.61559E-15,800.61554E-15,800.61559E-15,800.61551E-15,800.61563E-15,800.61555E-15,800.61558E-15,800.61553E-15,800.61548E-15,800.61555E-15,800.61561E-15
15.000000E-3,1.2009702E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009702E-12,1.2009701E-12,1.2009703E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009702E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009703E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009702E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009704E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009702E-12,1.2009702E-12,1.2009704E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009703E-12,1.2009701E-12,1.2009703E-12,1.2009702E-12,1.2009703E-12,1.2009702E-12,1.2009701E-12,1.2009702E-12,1.2009703E-12
20.000000E-3,1.6013608E-12,1.6013607E-12,1.6013609E-12,1.6013607E-12,1.6013605E-12,1.6013607E-12,1.6013608E-12,1.6013606E-12,1.6013608E-12,1.6013608E-12,1.6013607E-12,1.6013607E-12,1.6013606E-12,1.6013609E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013606E-12,1.6013607E-12,1.6013609E-12,1.6013608E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013605E-12,1.6013607E-12,1.6013608E-12,1.6013606E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013608E-12,1.6013606E-12,1.6013609E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013606E-12,1.6013607E-12,1.6013609E-12,1.6013608E-12,1.6013606E-12,1.6013609E-12,1.6013608E-12,1.6013605E-12,1.6013606E-12,1.6013608E-12,1.6013606E-12,1.6013607E-12,1.6013609E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013609E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013606E-12,1.6013607E-12,1.6013609E-12,1.6013608E-12,1.6013607E-12,1.6013609E-12,1.6013607E-12,1.6013605E-12,1.6013607E-12,1.6013608E-12,1.6013606E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013608E-12,1.6013606E-12,1.6013609E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013606E-12,1.6013607E-12,1.6013609E-12,1.6013608E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013605E-12,1.6013607E-12,1.6013608E-12,1.6013606E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013609E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013606E-12,1.6013607E-12,1.6013609E-12,1.6013608E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013605E-12,1.6013607E-12,1.6013608E-12,1.6013606E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013608E-12,1.6013606E-12,1.6013609E-12,1.6013607E-12,1.6013608E-12,1.6013607E-12,1.6013606E-12,1.6013607E-12,1.6013609E-12
25.000000E-3,2.0017910E-12,2.0017909E-12,2.0017912E-12,2.0017910E-12,2.0017906E-12,2.0017908E-12,2.0017911E-12,2.0017908E-12,2.0017910E-12,2.0017911E-12,2.0017909E-12,2.0017910E-12,2.0017908E-12,2.0017912E-12,2.0017909E-12,2.0017910E-12,2.0017909E-12,2.0017907E-12,2.0017909E-12,2.0017912E-12,2.0017910E-12,2.0017909E-12,2.0017911E-12,2.0017910E-12,2.0017907E-12,2.0017909E-12,2.0017910E-12,2.0017908E-12,2.0017909E-12,2.0017911E-12,2.0017909E-12,2.0017910E-12,2.0017908E-12,2.0017912E-12,2.0017909E-12,2.0017911E-12,2.0017909E-12,2.0017907E-12,2.0017909E-12,2.0017911E-12,2.0017910E-12,2.0017908E-12,2.0017912E-12,2.0017910E-12,2.0017906E-12,2.0017908E-12,2.0017910E-12,2.0017908E-12,2.0017910E-12,2.0017911E-12,2.0017908E-12,2.0017910E-12,2.0017909E-12,2.0017912E-12,2.0017909E-12,2.0017910E-12,2.0017909E-12,2.0017907E-12,2.0017909E-12,2.0017912E-12,2.0017910E-12,2.0017909E-12,2.0017911E-12,2.0017909E-12,2.0017907E-12,2.0017909E-12,2.0017910E-12,2.0017908E-12,2.0017909E-12,2.0017911E-12,2.0017909E-12,2.0017910E-12,2.0017908E-12,2.0017912E-12,2.0017909E-12,2.0017910E-12,2.0017909E-12,2.0017907E-12,2.0017910E-12,2.0017911E-12,2.0017910E-12,2.0017909E-12,2.0017911E-12,2.0017909E-12,2.0017907E-12,2.0017909E-12,2.0017911E-12,2.0017907E-12,2.0017909E-12,2.0017911E-12,2.0017909E-12,2.0017910E-12,2.0017909E-12,2.0017912E-12,2.0017909E-12,2.0017911E-12,2.0017909E-12,2.0017907E-12,2.0017910E-12,2.0017911E-12,2.0017910E-12,2.0017909E-12,2.0017911E-12,2.0017910E-12,2.0017906E-12,2.0017909E-12,2.0017910E-12,2.0017907E-12,2.0017910E-12,2.0017911E-12,2.0017909E-12,2.0017911E-12,2.0017908E-12,2.0017912E-12,2.0017909E-12,2.0017910E-12,2.0017909E-12,2.0017907E-12,2.0017909E-12,2.0017912E-12
30.000000E-3,2.4022652E-12,2.4022650E-12,2.4022654E-12,2.4022651E-12,2.4022647E-12,2.4022650E-12,2.4022653E-12,2.4022649E-12,2.4022652E-12,2.4022653E-12,2.4022650E-12,2.4022651E-12,2.4022649E-12,2.4022655E-12,2.4022650E-12,2.4022652E-12,2.4022650E-12,2.4022648E-12,2.4022651E-12,2.4022654E-12,2.4022652E-12,2.4022651E-12,2.4022653E-12,2.4022651E-12,2.4022647E-12,2.4022650E-12,2.4022652E-12,2.4022649E-12,2.4022651E-12,2.4022653E-12,2.4022650E-12,2.4022652E-12,2.4022649E-12,2.4022655E-12,2.4022651E-12,2.4022653E-12,2.4022650E-12,2.4022648E-12,2.4022651E-12,2.4022654E-12,2.4022652E-12,2.4022649E-12,2.4022654E-12,2.4022652E-12,2.4022647E-12,2.4022650E-12,2.4022652E-12,2.4022649E-12,2.4022651E-12,2.4022653E-12,2.4022650E-12,2.4022652E-12,2.4022650E-12,2.4022654E-12,2.4022651E-12,2.4022652E-12,2.4022650E-12,2.4022648E-12,2.4022651E-12,2.4022654E-12,2.4022652E-12,2.4022650E-12,2.4022654E-12,2.4022651E-12,2.4022648E-12,2.4022650E-12,2.4022652E-12,2.4022649E-12,2.4022651E-12,2.4022653E-12,2.4022651E-12,2.4022652E-12,2.4022650E-12,2.4022655E-12,2.4022651E-12,2.4022652E-12,2.4022650E-12,2.4022648E-12,2.4022651E-12,2.4022653E-12,2.4022652E-12,2.4022651E-12,2.4022653E-12,2.4022651E-12,2.4022647E-12,2.4022650E-12,2.4022653E-12,2.4022648E-12,2.4022651E-12,2.4022653E-12,2.4022650E-12,2.4022652E-12,2.4022650E-12,2.4022655E-12,2.4022650E-12,2.4022653E-12,2.4022650E-12,2.4022648E-12,2.4022651E-12,2.4022654E-12,2.4022652E-12,2.4022651E-12,2.4022653E-12,2.4022651E-12,2.4022647E-12,2.4022650E-12,2.4022652E-12,2.4022648E-12,2.4022651E-12,2.4022653E-12,2.4022650E-12,2.4022653E-12,2.4022649E-12,2.4022655E-12,2.4022651E-12,2.4022652E-12,2.4022650E-12,2.4022648E-12,2.4022651E-12,2.4022654E-12
35.000000E-3,2.8027879E-12,2.8027877E-12,2.8027883E-12,2.8027879E-12,2.8027873E-12,2.8027876E-12,2.8027880E-12,2.8027875E-12,2.8027879E-12,2.8027880E-12,2.8027878E-12,2.8027879E-12,2.8027876E-12,2.8027883E-12,2.8027877E-12,2.8027880E-12,2.8027877E-12,2.8027875E-12,2.8027878E-12,2.8027882E-12,2.8027880E-12,2.8027878E-12,2.8027881E-12,2.8027878E-12,2.8027874E-12,2.8027877E-12,2.8027880E-12,2.8027875E-12,2.8027878E-12,2.8027881E-12,2.8027877E-12,2.8027879E-12,2.8027876E-12,2.8027883E-12,2.8027878E-12,2.8027880E-12,2.8027877E-12,2.8027874E-12,2.8027878E-12,2.8027882E-12,2.8027880E-12,2.8027876E-12,2.8027882E-12,2.8027879E-12,2.8027873E-12,2.8027876E-12,2.8027880E-12,2.8027875E-12,2.8027878E-12,2.8027881E-12,2.8027876E-12,2.8027879E-12,2.8027877E-12,2.8027883E-12,2.8027878E-12,2.8027880E-12,2.8027877E-12,2.8027874E-12,2.8027878E-12,2.8027883E-12,2.8027880E-12,2.8027877E-12,2.8027882E-12,2.8027878E-12,2.8027874E-12,2.8027877E-12,2.8027880E-12,2.8027875E-12,2.8027878E-12,2.8027880E-12,2.8027878E-12,2.8027880E-12,2.8027876E-12,2.8027883E-12,2.8027878E-12,2.8027880E-12,2.8027877E-12,2.8027874E-12,2.8027879E-12,2.8027881E-12,2.8027880E-12,2.8027878E-12,2.8027881E-12,2.8027878E-12,2.8027873E-12,2.8027877E-12,2.8027881E-12,2.8027875E-12,2.8027878E-12,2.8027881E-12,2.8027878E-12,2.8027879E-12,2.8027877E-12,2.8027884E-12,2.8027878E-12,2.8027881E-12,2.8027877E-12,2.8027874E-12,2.8027878E-12,2.8027882E-12,2.8027879E-12,2.8027878E-12,2.8027881E-12,2.8027879E-12,2.8027873E-12,2.8027877E-12,2.8027879E-12,2.8027874E-12,2.8027878E-12,2.8027881E-12,2.8027877E-12,2.8027880E-12,2.8027876E-12,2.8027883E-12,2.8027878E-12,2.8027880E-12,2.8027877E-12,2.8027874E-12,2.8027878E-12,2.8027882E-12
40.000000E-3,3.2033644E-12,3.2033641E-12,3.2033648E-12,3.2033643E-12,3.2033636E-12,3.2033640E-12,3.2033645E-12,3.2033638E-12,3.2033643E-12,3.2033645E-12,3.2033641E-12,3.2033643E-12,3.2033639E-12,3.2033649E-12,3.2033641E-12,3.2033644E-12,3.2033640E-12,3.2033638E-12,3.2033642E-12,3.2033647E-12,3.2033644E-12,3.2033642E-12,3.2033646E-12,3.2033642E-12,3.2033636E-12,3.2033641E-12,3.2033644E-12,3.2033638E-12,3.2033642E-12,3.2033646E-12,3.2033641E-12,3.2033644E-12,3.2033640E-12,3.2033648E-12,3.2033642E-12,3.2033645E-12,3.2033641E-12,3.2033637E-12,3.2033642E-12,3.2033647E-12,3.2033644E-12,3.2033640E-12,3.2033647E-12,3.2033643E-12,3.2033635E-12,3.2033640E-12,3.2033644E-12,3.2033638E-12,3.2033643E-12,3.2033646E-12,3.2033640E-12,3.2033644E-12,3.2033640E-12,3.2033648E-12,3.2033642E-12,3.2033644E-12,3.2033641E-12,3.2033637E-12,3.2033642E-12,3.2033648E-12,3.2033644E-12,3.2033641E-12,3.2033647E-12,3.2033642E-12,3.2033637E-12,3.2033641E-12,3.2033644E-12,3.2033638E-12,3.2033642E-12,3.2033645E-12,3.2033642E-12,3.2033644E-12,3.2033640E-12,3.2033649E-12,3.2033642E-12,3.2033644E-12,3.2033640E-12,3.2033637E-12,3.2033643E-12,3.2033646E-12,3.2033644E-12,3.2033642E-12,3.2033646E-12,3.2033642E-12,3.2033636E-12,3.2033641E-12,3.2033646E-12,3.2033638E-12,3.2033642E-12,3.2033645E-12,3.2033641E-12,3.2033643E-12,3.2033641E-12,3.2033649E-12,3.2033641E-12,3.2033646E-12,3.2033641E-12,3.2033637E-12,3.2033642E-12,3.2033647E-12,3.2033644E-12,3.2033642E-12,3.2033646E-12,3.2033643E-12,3.2033636E-12,3.2033641E-12,3.2033644E-12,3.2033637E-12,3.2033643E-12,3.2033646E-12,3.2033641E-12,3.2033645E-12,3.2033639E-12,3.2033649E-12,3.2033642E-12,3.2033645E-12,3.2033641E-12,3.2033637E-12,3.2033642E-12,3.2033647E-12
45.000000E-3,3.6040001E-12,3.6039998E-12,3.6040007E-12,3.6040000E-12,3.6039991E-12,3.6039996E-12,3.6040003E-12,3.6039994E-12,3.6040001E-12,3.6040003E-12,3.6039998E-12,3.6040000E-12,3.6039996E-12,3.6040008E-12,3.6039998E-12,3.6040002E-12,3.6039997E-12,3.6039994E-12,3.6039999E-12,3.6040006E-12,3.6040002E-12,3.6039999E-12,3.6040004E-12,3.6040000E-12,3.6039992E-12,3.6039998E-12,3.6040002E-12,3.6039995E-12,3.6039999E-12,3.6040004E-12,3.6039998E-12,3.6040001E-12,3.6039996E-12,3.6040007E-12,3.6039998E-12,3.6040003E-12,3.6039998E-12,3.6039993E-12,3.6039999E-12,3.6040005E-12,3.6040002E-12,3.6039996E-12,3.6040005E-12,3.6040001E-12,3.6039991E-12,3.6039996E-12,3.6040002E-12,3.6039994E-12,3.6040000E-12,3.6040004E-12,3.6039996E-12,3.6040001E-12,3.6039997E-12,3.6040007E-12,3.6039999E-12,3.6040002E-12,3.6039998E-12,3.6039993E-12,3.6039999E-12,3.6040007E-12,3.6040002E-12,3.6039998E-12,3.6040005E-12,3.6039999E-12,3.6039992E-12,3.6039997E-12,3.6040002E-12,3.6039995E-12,3.6040000E-12,3.6040003E-12,3.6039999E-12,3.6040002E-12,3.6039996E-12,3.6040008E-12,3.6039998E-12,3.6040002E-12,3.6039997E-12,3.6039993E-12,3.6040000E-12,3.6040005E-12,3.6040002E-12,3.6039999E-12,3.6040004E-12,3.6039999E-12,3.6039992E-12,3.6039997E-12,3.6040004E-12,3.6039994E-12,3.6039999E-12,3.6040003E-12,3.6039998E-12,3.6040001E-12,3.6039998E-12,3.6040008E-12,3.6039998E-12,3.6040004E-12,3.6039997E-12,3.6039993E-12,3.6040000E-12,3.6040005E-12,3.6040001E-12,3.6039999E-12,3.6040004E-12,3.6040000E-12,3.6039991E-12,3.6039998E-12,3.6040001E-12,3.6039993E-12,3.6040000E-12,3.6040004E-12,3.6039998E-12,3.6040003E-12,3.6039996E-12,3.6040008E-12,3.6039999E-12,3.6040002E-12,3.6039998E-12,3.6039993E-12,3.6039999E-12,3.6040006E-12
