VCE ,leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 2e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 4e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 6e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 8e-06 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 1e-05 "mcparamset" 5 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 1 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 2 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 3 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 4 ) (A),leafValue( DP2_IC1 "Ibpol" 1.2e-05 "mcparamset" 5 ) (A)
0.0000000,-1.6729593E-6,-1.7785723E-6,-1.8736978E-6,-1.9118296E-6,-1.8150941E-6,-3.3348594E-6,-3.5447635E-6,-3.7347217E-6,-3.8078561E-6,-3.6177908E-6,-4.9673583E-6,-5.2764046E-6,-5.5571271E-6,-5.6610081E-6,-5.3846700E-6,-6.5691058E-6,-6.9719775E-6,-7.3391918E-6,-7.4697343E-6,-7.1141466E-6,-8.1407674E-6,-8.6323753E-6,-9.0819944E-6,-9.2353951E-6,-8.8071729E-6,-9.6835389E-6,-10.259111E-6,-10.787323E-6,-10.960065E-6,-10.465350E-6
10.000000E-3,7.0867068E-6,8.0428506E-6,8.9387805E-6,9.2812320E-6,8.3638988E-6,13.903322E-6,15.746605E-6,17.476077E-6,18.117574E-6,16.367983E-6,20.485784E-6,23.158686E-6,25.670261E-6,26.574265E-6,24.063373E-6,26.859594E-6,30.312093E-6,33.561383E-6,34.696220E-6,31.485460E-6,33.044171E-6,37.232024E-6,41.180034E-6,42.517863E-6,38.661253E-6,39.055290E-6,43.938928E-6,48.551008E-6,50.067123E-6,45.612650E-6
20.000000E-3,19.226823E-6,21.682520E-6,23.885481E-6,24.773761E-6,22.536279E-6,37.652028E-6,42.359609E-6,46.597826E-6,48.234668E-6,44.005305E-6,55.357371E-6,62.142943E-6,68.274140E-6,70.542221E-6,64.528408E-6,72.418965E-6,81.132280E-6,89.034006E-6,91.833538E-6,84.212907E-6,88.897991E-6,99.407535E-6,108.97299E-6,112.21806E-6,103.14461E-6,104.84525E-6,117.03478E-6,128.16987E-6,131.78579E-6,121.39431E-6
30.000000E-3,35.890041E-6,40.457140E-6,44.330052E-6,46.002438E-6,42.112407E-6,69.993490E-6,78.668088E-6,86.076657E-6,89.091070E-6,81.832930E-6,102.50204E-6,114.89803E-6,125.55784E-6,129.64582E-6,119.45129E-6,133.59791E-6,149.38832E-6,163.05764E-6,167.99838E-6,155.22841E-6,163.42862E-6,182.33290E-6,198.80366E-6,204.41306E-6,189.37331E-6,192.11642E-6,213.89129E-6,232.98257E-6,239.10539E-6,222.05743E-6
40.000000E-3,58.461528E-6,65.986983E-6,71.897447E-6,74.696781E-6,68.857750E-6,113.36294E-6,127.47733E-6,138.70773E-6,143.61400E-6,132.89961E-6,165.14365E-6,185.08432E-6,201.14347E-6,207.62089E-6,192.80122E-6,214.20376E-6,239.34371E-6,259.82047E-6,267.44808E-6,249.14628E-6,260.86439E-6,290.68035E-6,315.22630E-6,323.66775E-6,302.39561E-6,305.38853E-6,339.43827E-6,367.75508E-6,376.73782E-6,352.92094E-6
50.000000E-3,88.505638E-6,100.14512E-6,108.37688E-6,112.79308E-6,104.86571E-6,170.37859E-6,191.85430E-6,207.39456E-6,214.87574E-6,200.61838E-6,246.58175E-6,276.48712E-6,298.57578E-6,308.14023E-6,288.77564E-6,317.94414E-6,355.16683E-6,383.17580E-6,394.09556E-6,370.57521E-6,385.11924E-6,428.76332E-6,462.16796E-6,473.89173E-6,446.96926E-6,448.63222E-6,497.96473E-6,536.32229E-6,548.42503E-6,518.70668E-6
60.000000E-3,127.60669E-6,144.90440E-6,155.50898E-6,162.23235E-6,152.43025E-6,243.51404E-6,274.78449E-6,294.73113E-6,305.68197E-6,288.43817E-6,349.71081E-6,392.49575E-6,420.73273E-6,434.22939E-6,411.27168E-6,447.81937E-6,500.26532E-6,535.92385E-6,550.80322E-6,523.42189E-6,539.08807E-6,599.76519E-6,642.12454E-6,657.56086E-6,626.73982E-6,624.49662E-6,692.27955E-6,740.73764E-6,756.13141E-6,722.63494E-6
70.000000E-3,177.09320E-6,202.05265E-6,214.64504E-6,224.62552E-6,213.77855E-6,334.62450E-6,378.66199E-6,402.44723E-6,418.02231E-6,399.32317E-6,476.41727E-6,535.44546E-6,569.15507E-6,587.60900E-6,563.18465E-6,605.44898E-6,676.55292E-6,719.10253E-6,738.70137E-6,710.08987E-6,723.95069E-6,804.99120E-6,855.47094E-6,875.07327E-6,843.41031E-6,833.62787E-6,922.99451E-6,980.64394E-6,999.47844E-6,965.61953E-6
80.000000E-3,237.66790E-6,272.78823E-6,286.32325E-6,300.82328E-6,290.65901E-6,444.41971E-6,504.70752E-6,530.85180E-6,552.51467E-6,535.12152E-6,627.01730E-6,706.00072E-6,743.50635E-6,768.17087E-6,745.71202E-6,790.54881E-6,883.88889E-6,931.54626E-6,956.77978E-6,930.82840E-6,938.73331E-6,1.0434187E-3,1.1001621E-3,1.1244964E-3,1.0962040E-3,1.0743412E-3,1.1882144E-3,1.2531365E-3,1.2756612E-3,1.2458821E-3
90.000000E-3,309.03114E-6,357.27767E-6,369.87947E-6,390.50023E-6,383.84942E-6,572.04922E-6,652.49322E-6,678.47016E-6,708.03454E-6,696.00491E-6,799.94135E-6,902.80808E-6,941.38145E-6,973.79611E-6,957.91510E-6,1.0007691E-3,1.1199211E-3,1.1699092E-3,1.2019297E-3,1.1834997E-3,1.1803166E-3,1.3117458E-3,1.3719726E-3,1.4018251E-3,1.3818621E-3,1.3427963E-3,1.4837827E-3,1.5532016E-3,1.5798973E-3,1.5591743E-3
100.00000E-3,389.63677E-6,454.32043E-6,463.24940E-6,491.90647E-6,492.72728E-6,714.96585E-6,819.75927E-6,842.03101E-6,881.68095E-6,880.19253E-6,991.80076E-6,1.1225696E-3,1.1585553E-3,1.2005976E-3,1.1967313E-3,1.2319703E-3,1.3804118E-3,1.4291574E-3,1.4694274E-3,1.4638828E-3,1.4438979E-3,1.6049322E-3,1.6651884E-3,1.7016529E-3,1.6951992E-3,1.6336152E-3,1.8039954E-3,1.8745640E-3,1.9062366E-3,1.8995350E-3
110.00000E-3,476.70842E-6,561.26682E-6,563.07807E-6,601.90717E-6,615.06937E-6,869.13528E-6,1.0026039E-3,1.0168202E-3,1.0690965E-3,1.0840805E-3,1.1978129E-3,1.3605112E-3,1.3895734E-3,1.4434876E-3,1.4574417E-3,1.4788270E-3,1.6599168E-3,1.7033344E-3,1.7536693E-3,1.7663969E-3,1.7237267E-3,1.9170228E-3,1.9734875E-3,2.0180057E-3,2.0299998E-3,1.9407098E-3,2.1425149E-3,2.2106338E-3,2.2484437E-3,2.2602929E-3
120.00000E-3,566.55604E-6,674.25350E-6,665.13924E-6,716.32590E-6,747.18016E-6,1.0295198E-3,1.1959713E-3,1.1972698E-3,1.2650145E-3,1.3027249E-3,1.4124196E-3,1.6110589E-3,1.6284592E-3,1.6968571E-3,1.7344070E-3,1.7355358E-3,1.9525672E-3,1.9863309E-3,2.0489068E-3,2.0849713E-3,2.0138611E-3,2.2419715E-3,2.2907247E-3,2.3450814E-3,2.3799381E-3,2.2580538E-3,2.4931955E-3,2.5552758E-3,2.6007128E-3,2.6349865E-3
130.00000E-3,655.11766E-6,788.69976E-6,764.95094E-6,830.49667E-6,884.32050E-6,1.1906770E-3,1.3942574E-3,1.3775915E-3,1.4638473E-3,1.5304870E-3,1.6298953E-3,1.8684954E-3,1.8693232E-3,1.9551601E-3,2.0218088E-3,1.9964175E-3,2.2527219E-3,2.2724550E-3,2.3497946E-3,2.4137879E-3,2.3087464E-3,2.5742557E-3,2.6114489E-3,2.6777422E-3,2.7392742E-3,2.5802264E-3,2.8506446E-3,2.9032660E-3,2.9580981E-3,3.0179929E-3
140.00000E-3,738.57491E-6,899.92658E-6,858.42044E-6,939.87871E-6,1.0213042E-3,1.3473218E-3,1.5918597E-3,1.5523099E-3,1.6601711E-3,1.7616327E-3,1.8448071E-3,2.1274357E-3,2.1067598E-3,2.2132930E-3,2.3142016E-3,2.2563021E-3,2.5553705E-3,2.5567322E-3,2.6516872E-3,2.7477515E-3,2.6035381E-3,2.9092060E-3,2.9311230E-3,3.0117364E-3,3.1032314E-3,2.9026793E-3,3.2104816E-3,3.2504422E-3,3.3166685E-3,3.4048174E-3
