VCE ,leafValue( DP3_IB2 "T" 20 ) (A),leafValue( DP3_IB2 "T" 22 ) (A),leafValue( DP3_IB2 "T" 24 ) (A),leafValue( DP3_IB2 "T" 26 ) (A),leafValue( DP3_IB2 "T" 28 ) (A),leafValue( DP3_IB2 "T" 30 ) (A),leafValue( DP3_IC2 "T" 20 ) (A),leafValue( DP3_IC2 "T" 22 ) (A),leafValue( DP3_IC2 "T" 24 ) (A),leafValue( DP3_IC2 "T" 26 ) (A),leafValue( DP3_IC2 "T" 28 ) (A),leafValue( DP3_IC2 "T" 30 ) (A),leafValue( B2_DP3 "T" 20 ),leafValue( B2_DP3 "T" 22 ),leafValue( B2_DP3 "T" 24 ),leafValue( B2_DP3 "T" 26 ),leafValue( B2_DP3 "T" 28 ),leafValue( B2_DP3 "T" 30 )
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-nan,-nan,-nan,-nan,-nan,-nan
5.00000E-3,402.195E-15,400.293E-15,400.342E-15,400.398E-15,400.462E-15,400.536E-15,3.79234E-12,273.020E-15,298.745E-15,333.012E-15,378.485E-15,438.607E-15,9.42909,682.050E-3,746.225E-3,831.703E-3,945.122E-3,1.09505
10.0000E-3,804.557E-15,800.616E-15,800.717E-15,800.834E-15,800.968E-15,801.122E-15,7.02199E-12,533.633E-15,580.813E-15,643.693E-15,727.184E-15,837.629E-15,8.72778,666.529E-3,725.366E-3,803.779E-3,907.881E-3,1.04557
15.0000E-3,1.20711E-12,1.20097E-12,1.20113E-12,1.20131E-12,1.20152E-12,1.20176E-12,9.77779E-12,783.971E-15,849.051E-15,935.832E-15,1.05112E-12,1.20370E-12,8.10019,652.782E-3,706.877E-3,779.008E-3,874.820E-3,1.00161
20.0000E-3,1.60987E-12,1.60136E-12,1.60158E-12,1.60184E-12,1.60213E-12,1.60247E-12,12.1347E-12,1.02580E-12,1.10583E-12,1.21258E-12,1.35447E-12,1.54235E-12,7.53768,640.583E-3,690.458E-3,756.994E-3,845.418E-3,962.483E-3
25.0000E-3,2.01286E-12,2.00179E-12,2.00208E-12,2.00242E-12,2.00280E-12,2.00324E-12,14.1559E-12,1.26060E-12,1.35311E-12,1.47657E-12,1.64074E-12,1.85821E-12,7.03270,629.737E-3,675.850E-3,737.395E-3,819.221E-3,927.599E-3
30.0000E-3,2.41613E-12,2.40227E-12,2.40263E-12,2.40306E-12,2.40354E-12,2.40409E-12,15.8948E-12,1.48959E-12,1.59254E-12,1.72999E-12,1.91283E-12,2.15513E-12,6.57865,620.078E-3,662.830E-3,719.914E-3,795.840E-3,896.442E-3
35.0000E-3,2.81968E-12,2.80279E-12,2.80324E-12,2.80376E-12,2.80435E-12,2.80503E-12,17.3967E-12,1.71379E-12,1.82549E-12,1.97468E-12,2.17319E-12,2.43635E-12,6.16974,611.460E-3,651.206E-3,704.296E-3,774.935E-3,868.566E-3
40.0000E-3,3.22355E-12,3.20336E-12,3.20391E-12,3.20453E-12,3.20524E-12,3.20605E-12,18.6996E-12,1.93405E-12,2.05310E-12,2.21215E-12,2.42385E-12,2.70458E-12,5.80093,603.757E-3,640.810E-3,690.319E-3,756.214E-3,843.586E-3
45.0000E-3,3.62778E-12,3.60400E-12,3.60464E-12,3.60538E-12,3.60622E-12,3.60718E-12,19.8360E-12,2.15109E-12,2.27632E-12,2.44369E-12,2.66653E-12,2.96210E-12,5.46780,596.862E-3,631.498E-3,677.791E-3,739.424E-3,821.167E-3
50.0000E-3,4.03240E-12,4.00470E-12,4.00545E-12,4.00632E-12,4.00730E-12,4.00842E-12,20.8333E-12,2.36551E-12,2.49598E-12,2.67040E-12,2.90267E-12,3.21082E-12,5.16647,590.682E-3,623.146E-3,666.548E-3,724.345E-3,801.019E-3
55.0000E-3,4.43745E-12,4.40547E-12,4.40635E-12,4.40735E-12,4.40849E-12,4.40979E-12,21.7150E-12,2.57781E-12,2.71276E-12,2.89318E-12,3.13349E-12,3.45238E-12,4.89357,585.137E-3,615.647E-3,656.445E-3,710.787E-3,782.891E-3
60.0000E-3,4.84297E-12,4.80633E-12,4.80733E-12,4.80848E-12,4.80980E-12,4.81129E-12,22.5011E-12,2.78843E-12,2.92723E-12,3.11282E-12,3.36005E-12,3.68817E-12,4.64614,580.158E-3,608.908E-3,647.360E-3,698.586E-3,766.566E-3
65.0000E-3,5.24901E-12,5.20727E-12,5.20842E-12,5.20974E-12,5.21124E-12,5.21295E-12,23.2089E-12,2.99775E-12,3.13990E-12,3.33000E-12,3.58325E-12,3.91939E-12,4.42158,575.685E-3,602.851E-3,639.187E-3,687.601E-3,751.857E-3
70.0000E-3,5.65561E-12,5.60831E-12,5.60962E-12,5.61112E-12,5.61282E-12,5.61477E-12,23.8534E-12,3.20609E-12,3.35122E-12,3.54531E-12,3.80388E-12,4.14709E-12,4.21765,571.668E-3,597.406E-3,631.836E-3,677.712E-3,738.604E-3
75.0000E-3,6.06285E-12,6.00945E-12,6.01094E-12,6.01264E-12,6.01457E-12,6.01677E-12,24.4477E-12,3.41377E-12,3.56159E-12,3.75927E-12,4.02264E-12,4.37220E-12,4.03238,568.066E-3,592.518E-3,625.229E-3,668.815E-3,726.669E-3
80.0000E-3,6.47076E-12,6.41072E-12,6.41240E-12,6.41431E-12,6.41650E-12,6.41898E-12,25.0035E-12,3.62104E-12,3.77138E-12,3.97239E-12,4.24017E-12,4.59558E-12,3.86407,564.842E-3,588.138E-3,619.301E-3,660.824E-3,715.937E-3
85.0000E-3,6.87943E-12,6.81212E-12,6.81401E-12,6.81616E-12,6.81862E-12,6.82141E-12,25.5314E-12,3.82818E-12,3.98092E-12,4.18512E-12,4.45710E-12,4.81802E-12,3.71127,561.967E-3,584.226E-3,613.999E-3,653.666E-3,706.310E-3
90.0000E-3,7.28893E-12,7.21366E-12,7.21578E-12,7.21820E-12,7.22095E-12,7.22408E-12,26.0412E-12,4.03545E-12,4.19057E-12,4.39790E-12,4.67399E-12,5.04030E-12,3.57271,559.418E-3,580.751E-3,609.280E-3,647.282E-3,697.708E-3
95.0000E-3,7.69933E-12,7.61536E-12,7.61773E-12,7.62044E-12,7.62352E-12,7.62702E-12,26.5422E-12,4.24310E-12,4.40067E-12,4.61120E-12,4.89145E-12,5.26317E-12,3.44735,557.177E-3,577.687E-3,605.109E-3,641.626E-3,690.069E-3
100.000E-3,8.11072E-12,8.01723E-12,8.01989E-12,8.02292E-12,8.02636E-12,8.03026E-12,27.0436E-12,4.45142E-12,4.61158E-12,4.82548E-12,5.11009E-12,5.48744E-12,3.33430,555.232E-3,575.018E-3,601.462E-3,636.664E-3,683.346E-3
105.000E-3,8.52321E-12,8.41930E-12,8.42227E-12,8.42564E-12,8.42948E-12,8.43383E-12,27.5544E-12,4.66072E-12,4.82371E-12,5.04126E-12,5.33057E-12,5.71395E-12,3.23287,553.576E-3,572.733E-3,598.323E-3,632.372E-3,677.504E-3
110.000E-3,8.93689E-12,8.82159E-12,8.82489E-12,8.82865E-12,8.83292E-12,8.83775E-12,28.0843E-12,4.87134E-12,5.03750E-12,5.25911E-12,5.55361E-12,5.94363E-12,3.14251,552.207E-3,570.829E-3,595.686E-3,628.740E-3,672.527E-3
115.000E-3,9.35189E-12,9.22411E-12,9.22778E-12,9.23196E-12,9.23670E-12,9.24208E-12,28.6433E-12,5.08368E-12,5.25345E-12,5.47966E-12,5.78004E-12,6.17752E-12,3.06283,551.130E-3,569.308E-3,593.554E-3,625.769E-3,668.412E-3
120.000E-3,9.76834E-12,9.62689E-12,9.63098E-12,9.63562E-12,9.64088E-12,9.64684E-12,29.2424E-12,5.29820E-12,5.47215E-12,5.70368E-12,6.01080E-12,6.41682E-12,2.99359,550.354E-3,568.182E-3,591.937E-3,623.471E-3,665.173E-3
125.000E-3,10.1864E-12,10.0300E-12,10.0345E-12,10.0396E-12,10.0455E-12,10.0521E-12,29.8942E-12,5.51543E-12,5.69428E-12,5.93203E-12,6.24700E-12,6.66292E-12,2.93473,549.895E-3,567.471E-3,590.860E-3,621.872E-3,662.839E-3
130.000E-3,10.6062E-12,10.4334E-12,10.4384E-12,10.4441E-12,10.4505E-12,10.4579E-12,30.6126E-12,5.73603E-12,5.92067E-12,6.16574E-12,6.48994E-12,6.91745E-12,2.88631,549.778E-3,567.202E-3,590.357E-3,621.014E-3,661.459E-3
135.000E-3,11.0279E-12,10.8371E-12,10.8427E-12,10.8490E-12,10.8561E-12,10.8642E-12,31.4138E-12,5.96076E-12,6.15229E-12,6.40604E-12,6.74115E-12,7.18235E-12,2.84859,550.033E-3,567.415E-3,590.473E-3,620.953E-3,661.101E-3
140.000E-3,11.4517E-12,11.2412E-12,11.2474E-12,11.2544E-12,11.2623E-12,11.2712E-12,32.3165E-12,6.19056E-12,6.39031E-12,6.65439E-12,7.00248E-12,7.45992E-12,2.82199,550.701E-3,568.159E-3,591.271E-3,621.764E-3,661.854E-3
145.000E-3,11.8778E-12,11.6458E-12,11.6526E-12,11.6603E-12,11.6691E-12,11.6790E-12,33.3428E-12,6.42653E-12,6.63612E-12,6.91258E-12,7.27615E-12,7.75291E-12,2.80714,551.832E-3,569.497E-3,592.828E-3,623.541E-3,663.836E-3
150.000E-3,12.3066E-12,12.0508E-12,12.0584E-12,12.0669E-12,12.0766E-12,12.0875E-12,34.5184E-12,6.67003E-12,6.89144E-12,7.18270E-12,7.56479E-12,8.06464E-12,2.80488,553.491E-3,571.506E-3,595.240E-3,626.403E-3,667.190E-3
155.000E-3,12.7381E-12,12.4564E-12,12.4647E-12,12.4742E-12,12.4848E-12,12.4968E-12,35.8738E-12,6.92268E-12,7.15830E-12,7.46734E-12,7.87161E-12,8.39906E-12,2.81626,555.753E-3,574.284E-3,598.625E-3,630.495E-3,672.094E-3
160.000E-3,13.1728E-12,12.8626E-12,12.8717E-12,12.8821E-12,12.8939E-12,12.9072E-12,37.4454E-12,7.18647E-12,7.43917E-12,7.76957E-12,8.20046E-12,8.76097E-12,2.84263,558.712E-3,577.946E-3,603.127E-3,635.995E-3,678.767E-3
165.000E-3,13.6109E-12,13.2693E-12,13.2795E-12,13.2910E-12,13.3039E-12,13.3186E-12,39.2759E-12,7.46377E-12,7.73705E-12,8.09313E-12,8.55596E-12,9.15612E-12,2.88563,562.482E-3,582.632E-3,608.919E-3,643.115E-3,687.470E-3
170.000E-3,14.0528E-12,13.6768E-12,13.6880E-12,13.7007E-12,13.7150E-12,13.7311E-12,41.4166E-12,7.75750E-12,8.05557E-12,8.44253E-12,8.94374E-12,9.59145E-12,2.94721,567.200E-3,588.511E-3,616.211E-3,652.114E-3,698.518E-3
175.000E-3,14.4989E-12,14.0851E-12,14.0975E-12,14.1114E-12,14.1272E-12,14.1450E-12,43.9282E-12,8.07117E-12,8.39910E-12,8.82322E-12,9.37055E-12,10.0753E-12,3.02976,573.028E-3,595.787E-3,625.253E-3,663.298E-3,712.290E-3
180.000E-3,14.9497E-12,14.4943E-12,14.5079E-12,14.5233E-12,14.5407E-12,14.5603E-12,46.8833E-12,8.40903E-12,8.77295E-12,9.24181E-12,9.84458E-12,10.6179E-12,3.13607,580.162E-3,604.702E-3,636.344E-3,677.037E-3,729.235E-3
185.000E-3,15.4056E-12,14.9044E-12,14.9194E-12,14.9364E-12,14.9555E-12,14.9771E-12,50.3680E-12,8.77668E-12,9.18357E-12,9.70628E-12,10.3757E-12,11.2312E-12,3.26946,588.866E-3,615.545E-3,649.841E-3,693.769E-3,749.892E-3
190.000E-3,15.8672E-12,15.3156E-12,15.3321E-12,15.3508E-12,15.3719E-12,15.3957E-12,54.4855E-12,9.17949E-12,9.63924E-12,10.2270E-12,10.9768E-12,11.9315E-12,3.43384,599.357E-3,628.695E-3,666.216E-3,714.081E-3,774.989E-3
195.000E-3,16.3352E-12,15.7279E-12,15.7462E-12,15.7668E-12,15.7901E-12,15.8162E-12,59.3585E-12,9.62556E-12,10.1483E-12,10.8141E-12,11.6602E-12,12.7335E-12,3.63379,612.005E-3,644.495E-3,685.877E-3,738.453E-3,805.088E-3
200.000E-3,16.8102E-12,16.1416E-12,16.1617E-12,16.1844E-12,16.2100E-12,16.2389E-12,65.1336E-12,10.1241E-12,10.7229E-12,11.4826E-12,12.4445E-12,13.6601E-12,3.87466,627.208E-3,663.474E-3,709.482E-3,767.703E-3,841.200E-3
205.000E-3,17.2930E-12,16.5567E-12,16.5789E-12,16.6039E-12,16.6321E-12,16.6639E-12,72.0060E-12,10.6864E-12,11.3767E-12,12.2495E-12,13.3508E-12,14.7374E-12,4.16389,645.442E-3,686.219E-3,737.750E-3,802.709E-3,884.392E-3
210.000E-3,17.7844E-12,16.9734E-12,16.9979E-12,17.0255E-12,17.0565E-12,17.0915E-12,80.1399E-12,11.3259E-12,12.1267E-12,13.1357E-12,14.4044E-12,15.9965E-12,4.50618,667.274E-3,713.426E-3,771.534E-3,844.510E-3,935.931E-3
215.000E-3,18.2856E-12,17.3919E-12,17.4188E-12,17.4493E-12,17.4835E-12,17.5221E-12,89.8086E-12,12.0592E-12,12.9932E-12,14.1662E-12,15.6363E-12,17.4750E-12,4.91143,693.382E-3,745.925E-3,811.848E-3,894.343E-3,997.316E-3
220.000E-3,18.7976E-12,17.8123E-12,17.8421E-12,17.8756E-12,17.9134E-12,17.9558E-12,101.309E-12,12.9063E-12,14.0007E-12,15.3712E-12,17.0835E-12,19.2186E-12,5.38944,724.570E-3,784.703E-3,859.897E-3,953.673E-3,1.07032
225.000E-3,19.3217E-12,18.2349E-12,18.2678E-12,18.3047E-12,18.3464E-12,18.3932E-12,114.995E-12,13.8914E-12,15.1793E-12,16.7875E-12,18.7910E-12,21.2819E-12,5.95158,761.798E-3,830.935E-3,917.111E-3,1.02424,1.15706
230.000E-3,19.8593E-12,18.6600E-12,18.6962E-12,18.7370E-12,18.7829E-12,18.8345E-12,131.289E-12,15.0439E-12,16.5651E-12,18.4595E-12,20.8132E-12,23.7314E-12,6.61097,806.212E-3,886.017E-3,985.190E-3,1.10810,1.26000
235.000E-3,20.4121E-12,19.0878E-12,19.1277E-12,19.1727E-12,19.2233E-12,19.2802E-12,150.697E-12,16.3997E-12,18.2021E-12,20.4410E-12,23.2157E-12,26.6471E-12,7.38274,859.173E-3,951.609E-3,1.06615,1.20769,1.38210
240.000E-3,20.9819E-12,19.5185E-12,19.5626E-12,19.6122E-12,19.6680E-12,19.7309E-12,173.820E-12,18.0020E-12,20.1433E-12,22.7970E-12,26.0779E-12,30.1256E-12,8.28431,922.305E-3,1.02969,1.16239,1.32590,1.52683
245.000E-3,21.5708E-12,19.9526E-12,20.0012E-12,20.0560E-12,20.1177E-12,20.1870E-12,201.378E-12,19.9035E-12,22.4533E-12,25.6062E-12,29.4958E-12,34.2834E-12,9.33567,997.539E-3,1.12260,1.27673,1.46617,1.69829
